Original,R2,Modelo
exp(-theta**2/2)/sqrt(2*pi),0.9999905473739268,((-0.391) + ((-4.236) * (cos(cos(sin(sin(sin(((-0.535) * X1)))))) - cos(sin(((-1.719) / (1.772 + sin((0.552 * X1)))))))))
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9997727823352168,(0.256 + ((-0.292) * sin(((cos((cos((sin(((-0.398) * X2)) / (0.259 * X1))) / (2.718 * X1))) + (cos((0.285 * X2)) * (sin(((0.754 * X2) / (0.498 * X1))) / ((-2.432) * X2)))) + ((sin((0.368 * X2)) / ((-2.431) * X2)) + (sin(((0.408 * X2) / (0.259 * X1))) / ((-2.432) * X2)))))))
q2*Ef,0.9999999999999017,((-0.000) + ((-33.864) * ((0.883 * X1) * ((-0.033) * X2))))
q*(Ef+B*v*sin(theta)),0.9999942473553461,((-0.052) + ((-15.803) * (((((-0.614) * X4) * (sin(((-1.001) * X5)) * ((-0.146) * X1))) * (0.707 * X3)) + ((0.318 * X1) * ((-0.201) * X2)))))
1/2*m*(v**2+u**2+w**2),0.9974644805661863,(1.488 + (1.476 * (((-0.420) * X1) - ((((0.707 * X2) + (1.088 * X3)) * ((((-1.219) * X1) - (((0.854 * X2) + (0.975 * X4)) * sin(((-0.116) * X1)))) + (((0.531 * X4) + (0.693 * X2)) * ((-0.317) * X1)))) - ((((-1.219) * X1) - ((cos(sin((1.007 * X3))) * ((1.772 * X1) * (0.252 * X4))) - cos(((-1.028) * X2)))) - ((sin((0.839 * X3)) - (((0.110 * X4) * (1.772 * X1)) * (1.772 * X4))) + sin(((0.707 * X2) + sin((1.007 * X3))))))))))
G*m1*m2*(1/r2-1/r1),0.9999999999999676,(0.000 + ((-0.594) * (((((((0.693 * X3) - (0.693 * X4)) * ((-0.482) * X1)) * (2.107 * X2)) * (2.107 * X5)) / ((-1.096) * X4)) / ((-0.803) * X3))))
m*g*z,0.9999999999999264,((-0.000) + ((-14.916) * (((1.975 * X2) * (0.117 * X1)) * ((-0.290) * X3))))
1/2*k_spring*x**2,0.9999999999999902,((-0.000) + (41.605 * (((0.307 * X2) * (0.149 * X1)) * (0.263 * X2))))
(x-u*t)/sqrt(1-u**2/c**2),0.9996991381745343,(2.288 + (0.709 * (((((((-2.161) + ((0.691 * X1) + cos(((-1.057) * X4)))) / (((-0.472) * X3) + (0.599 * X2))) - cos((((-2.159) * X4) - (2.035 * X2)))) - cos((sin(((-2.159) * X4)) - (1.997 * X2)))) * (-0.217)) + ((((sin((1.997 * X2)) / ((-1.800) * X3)) * ((-2.159) * X4)) * (-0.217)) + (((-2.172) * X4) - ((2.035 * X2) - (1.389 * X1)))))))
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9963783167432397,(0.039 + (1.169 * (((((((((-0.169) * X3) + (((-0.169) * X4) + (0.245 * X1))) / ((-0.304) * X2)) / ((-0.336) * X2)) / ((-0.336) * X2)) - ((-0.851) * X4)) - (((-0.478) / ((-0.336) * X2)) / (6.283 * X4))) - (cos(((0.501 * X3) + sin((cos((((-0.169) * X4) + (0.257 * X1))) * (((0.707 * X3) - 0.516) * ((-1.215) * X4)))))) / (4.630 * X2)))))
