Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999908932168959,(0.274 + ((-1.328) * (sin(sin(sin((sin(sin((0.539 * X1))) * sin(sin(sin((0.508 * X1)))))))) + sin((sin(sin((0.540 * X1))) * (-0.391)))))),0.10602436690231068
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9992258314051002,(0.007 + ((-0.123) * (sin(((cos((cos(((0.822 * X2) + 0.318)) / (0.707 * X1))) / (-0.657)) / (0.584 * X1))) - (sin(((cos(((0.822 * X2) + 0.199)) / (0.693 * X1)) / (0.573 * X1))) - (cos(1.604) * ((sin(sin(((1.092 * X2) + (-0.408)))) * ((1.092 * X2) + cos(((0.852 * X2) + ((0.109 * X2) - (((-0.212) * X1) - 1.186)))))) + (((0.707 * X2) + cos(((-0.212) * X1))) + cos((0.318 * X1))))))))),0.0573448276242194
q2*Ef,0.9999999999999191,(0.000 + ((-3.267) * (((-0.531) * X1) * (0.577 * X2)))),7.853420370310612
q*(Ef+B*v*sin(theta)),0.9999904154105459,(0.228 + ((-0.168) * ((((((-0.383) * X4) * cos((0.997 * X5))) + (((0.973 * X2) * ((-6.090) * X1)) + (((sin((0.997 * X5)) * ((-2.247) * X3)) * ((-2.005) * X4)) * ((-1.319) * X1)))) - ((-0.247) * X3)) - ((-0.199) * X1)))),35.205347778602494
1/2*m*(v**2+u**2+w**2),0.9987586632469189,((-8.154) + (3.473 * ((((0.857 * X1) * (0.477 * X3)) + ((0.313 * (((((0.640 * X1) * (0.318 * X3)) + (((-0.732) * X4) * ((-0.237) * X1))) + ((((-0.732) * X4) * ((-0.231) * X1)) * (0.693 * X4))) * (0.434 * X4))) + (0.318 * X3))) + ((((-0.732) * X4) * ((-0.231) * X1)) + ((((((0.477 * X2) * ((0.640 * X1) * (0.477 * X2))) + (0.329 * X1)) + cos(cos(sin(((-0.836) * X3))))) + cos(sin((0.334 * X3)))) + ((0.640 * X1) * sin(((-0.836) * X3)))))))),28.81174610876676
G*m1*m2*(1/r2-1/r1),0.9999999936619104,(0.001 + ((-0.006) * ((((((((1.443 * X5) / ((-0.021) * X4)) * (((-0.899) * X3) - ((-0.899) * X4))) - ((1.443 * X5) / ((1.443 * X5) / ((-0.021) * X5)))) * (1.762 * X2)) / ((-0.750) * X3)) - ((((sin((0.330 * X4)) * sin((0.330 * X4))) - (((-0.202) * X3) / (2.025 * X1))) / ((2.303 * X5) / ((-0.021) * X4))) / ((1.443 * X5) / ((-0.021) * X4)))) * (1.164 * X1)))),10.643242447431179
m*g*z,0.9999999999999053,((-0.000) + (2.520 * ((((0.640 * X1) * (0.477 * X3)) / sin((-1.072))) * ((-1.142) * X2)))),25.832644866242394
1/2*k_spring*x**2,0.9999999999999658,(0.000 + ((-0.189) * ((((-0.722) * X2) * ((-1.683) * X1)) * ((1.243 * X2) * (-1.756))))),19.02971907317386
(x-u*t)/sqrt(1-u**2/c**2),0.9836133527412941,(2.494 + (0.010 * (((((-1.284) * X3) + (cos((3.093 * X1)) + ((5.047 * X4) * cos((0.588 * X3))))) + ((((cos((0.255 * X3)) + cos(((-0.455) * X3))) * (cos(cos(((-0.377) * X3))) * (2.908 * X1))) + (cos((0.255 * X3)) * ((cos((0.574 * X1)) + cos((0.574 * X1))) + (2.377 * X1)))) + (((-1.123) * X3) / (0.930 * X4)))) + (((((1.335 * X4) - (0.574 * X1)) + ((0.434 * X4) - (((-1.233) * X4) + (1.378 * X1)))) + (2.734 * X2)) / (-0.019))))),2.010035339207279
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9977190518900858,(0.165 + (0.461 * ((((cos(((((-1.996) * X3) + (0.053 * X1)) / ((-1.121) * X2))) * ((0.764 * X4) + sin((-0.775)))) * (-0.709)) - ((0.063 * X3) - (((0.707 * X4) + (0.063 * X3)) - (((-1.987) * X4) + (0.053 * X1))))) + (((2.250 / (((0.761 * X4) + ((-1.132) * X2)) * ((-0.687) * X1))) + (cos((sin(((-1.023) * X4)) + ((-1.505) * X4))) + ((-1.505) * X4))) / (((((1.414 * X4) + (-0.775)) + (0.104 * X2)) + (0.104 * X2)) + (0.104 * X2)))))),1.8278869787418162
m_0*v/sqrt(1-v**2/c**2),0.9998654161068693,(1.259 + (0.397 * ((cos((cos(((-0.852) * (sin((((-1.282) + (0.263 * X3)) * ((-0.516) * X2))) + sin((0.432 * X1))))) - (cos((cos(0.227) - ((-0.010) * X3))) * (1.441 * X2)))) / cos(1.873)) + (((((-0.710) * X2) * ((-1.706) * X1)) / 0.472) + (((sin((((-1.282) + ((-0.046) * X3)) * ((-0.516) * X2))) / (((-1.633) * X3) + (((-0.482) * X2) * ((-1.187) * X1)))) / cos(1.873)) / (0.707 + (0.263 * X3))))))),2.5808523524881593
(u+v)/(1+u*v/c**2),0.9814056587067497,(0.435 + ((-11.024) * (((((((((-1.037) * X1) * (0.208 * X1)) - sin(((0.624 * X3) - ((-1.037) * X2)))) - sin(sin(((((-0.301) * X3) - (0.240 * X3)) - ((-0.995) * X2))))) * cos(((0.109 * X3) + (((-0.093) * X2) * ((-0.409) * X1))))) * (-0.073)) - sin(sin((0.208 * X1)))) * (sin(sin(sin(sin((0.208 * X1))))) - (sin(sin((((-0.553) * X3) - ((-0.879) * X1)))) * (-0.052)))))),1.682839973413138
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.933618295389107,(0.092 + ((-1.015) * (((((((-0.141) / 1.772) / (0.627 * X1)) * 1.654) / (-0.057)) / (sin((((((-0.141) / 1.548) - ((1.358 * X3) + ((-1.713) * X2))) + ((1.443 * 1.819) / (2.303 * X2))) * 1.340)) + (4.997 * X1))) + sin(((0.822 / ((-0.620) * X1)) / (1.226 * X1)))))),0.06026647923537266
(m1*r1+m2*r2)/(m1+m2),0.9902587584077038,(0.035 + (1.984 * ((((0.358 * X3) / 6.182) * sin(0.650)) + ((((-1.707) * X4) - (1.513 * X3)) / (((cos((0.493 * X4)) - (0.996 - (0.951 * (0.358 * X3)))) * cos(((-0.494) * X2))) + ((((0.951 - (0.318 * X3)) - cos((0.493 * X4))) * cos(((-0.494) * X1))) + (((0.434 * X4) - ((-0.603) * X4)) / ((-0.149) * X4)))))))),1.3035959670386406
r*F*sin(theta),0.9999995255489049,(0.006 + ((-1.510) * (((((0.042 * X2) - (((-1.523) * X2) * sin(((-1.012) * X3)))) - (((-1.523) * X2) * sin((1.023 * X3)))) - ((0.042 * X2) + (((-1.523) * X2) * sin(((-1.012) * X3))))) * (0.434 * X1)))),9.607594668285676
m*r*v*sin(theta),0.9999963041902358,(0.158 + (0.502 * (((((-0.808) * X1) * ((6.283 * X3) * (0.805 * ((0.434 * X2) * (sin(((-0.498) * X4)) * cos(((-0.498) * X4))))))) + ((0.631 * X2) * (((-0.808) * X1) * 0.072))) + (((((-0.808) * X1) * ((6.283 * X3) * ((0.434 * X2) * (sin(((-0.498) * X4)) * cos(((-0.498) * X4)))))) + (((1.772 * X3) * sin(sin(((-0.583) * X4)))) * 0.072)) + ((0.353 * X3) * ((0.318 * X1) * ((1.882 * X2) * (sin((1.379 * X4)) * 0.072)))))))),30.004245114300574
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9993196990988805,((-0.688) + (0.454 * (((((((-0.557) * X2) * (0.434 * X2)) * (((-0.512) * X2) * ((-0.078) * X2))) * (1.639 * X2)) - (((((-1.205) * X4) * cos(((0.707 * X3) * (0.811 * X3)))) - ((0.318 * X3) - ((-0.906) * X2))) - (sin(((-1.210) * X1)) * cos(((0.693 * X3) * (0.811 * X3)))))) - (((((-1.205) * X4) * (2.000 * X1)) * (((-0.311) * X2) * (1.414 * X4))) * ((sin(((-0.452) * X3)) * ((((-0.525) * X3) * 1.647) / ((-0.512) * X2))) - ((-0.562) - ((-0.681) * X2))))))),11.321679748501833
q/C,0.9999999999999662,(0.000 + ((-0.144) * (((1.941 * X1) / ((-0.475) * X2)) / cos((-0.941))))),0.9281803430525738
np.arcsin(n*sin(theta2)),0.9997262932027322,((-0.001) + ((-0.912) * ((cos((cos(((0.445 / (-1.398)) - ((-0.590) * X2))) - ((-1.488) * X2))) * (cos((((0.434 * X1) / cos(sin(cos((0.964 * X2))))) / (((0.445 / ((-0.190) + (0.434 * X1))) / sin((0.553 * X2))) / ((0.707 * X1) / (0.445 / (-1.393)))))) / cos((cos(cos(0.445)) / cos(((0.678 * X1) / cos((0.678 * X1)))))))) * (0.922 * X1)))),0.45306637942204325
1/(1/d1+n/d2),0.9993709023058845,(0.191 + ((-0.110) * (((1.486 * X2) * ((-0.788) * X1)) / (((0.250 * X3) / ((((1.486 * X2) + ((-0.379) * X3)) - ((cos((0.197 * X2)) * ((-0.124) * X2)) / (((2.505 * X2) / ((-2.642) * X3)) / cos((0.197 * X3))))) - (-0.641))) * ((((((-1.343) * X2) / ((-0.540) * X3)) / cos((0.197 * X2))) + (((2.211 * X2) + ((-0.942) * X3)) * ((cos(((-0.177) * X2)) * ((-0.124) * X2)) / (-1.728)))) - ((0.924 * X2) * ((-0.788) * X1))))))),0.47692139903075914
omega/c,0.9999999999999312,(0.000 + ((-0.144) * (((1.941 * X1) / ((-0.475) * X2)) / cos((-0.941))))),1.1681842182100406
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.8076521138397694,(1.383 + (1.018 * (((((((0.318 * X3) + (0.952 * X2)) / ((0.074 * X4) / 0.085)) * (0.318 * X3)) - (((0.318 * X2) - (0.536 * X1)) + (((((0.067 * X4) / 0.085) / (0.941 * X3)) * (0.399 * X2)) * (((-0.404) * X4) - ((-0.035) * X4))))) + ((0.074 * X4) / (0.142 * X2))) + (sin((((((0.074 * X4) / 0.085) - (0.906 * X3)) * (0.418 * X2)) - ((0.080 * X1) + (0.344 * X3)))) + (((-0.404) * X4) + sin(((-0.515) - (0.434 * X2)))))))),2.4962048191134074
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,-0.28669891650029755,(1.410 + ((-0.196) * ((((cos(cos((0.588 * X2))) - (((0.482 * X1) / (0.700 * X2)) - (cos(((1.443 * X3) * (0.693 * X2))) * (0.495 * X1)))) / (0.063 * X2)) - (((0.730 * X1) * (0.495 * X1)) / (((0.495 * X1) / (0.909 * X2)) - cos((0.977 * X2))))) - ((cos(((1.440 * X3) * (0.693 * X2))) * (1.414 * X1)) * ((cos(((0.807 * X1) / (0.977 * X2))) * cos((0.588 * X2))) / sin(((0.482 * X1) / ((0.807 * X1) / (0.977 * X2))))))))),2.5079901089594725
sqrt((x2-x1)**2+(y2-y1)**2),0.9544963590838823,(4.334 + ((-0.779) * (((cos(cos((sin((((-1.090) * X2) + (0.734 * X1))) / ((-0.414) * X1)))) + cos(((0.448 * X3) + ((-0.590) * X4)))) * cos(((0.434 * X3) + ((-0.342) * X4)))) + ((((sin((((-1.092) * X2) / ((-1.017) * X1))) + cos(((0.439 * X3) + ((-0.459) * X4)))) / cos(sin((((-1.092) * X2) / ((-0.726) * X1))))) - sin(sin(sin(((0.318 * X4) / (((-1.092) * X2) / (0.734 * X1))))))) - cos(sin((((-1.090) * X2) / (0.434 * X1)))))))),1.1277645846972626
np.arcsin(lambd/(n*d)),0.9999878973395179,((-0.000) + ((-3.620) * (((-0.232) * X1) / ((((-0.232) * X1) / (((((-0.232) * X1) / ((((-0.621) * X2) * ((-1.482) * X3)) + ((-0.688) * X2))) + (((0.617 * X1) * ((0.617 * X1) * ((-0.621) * X2))) + (((-0.567) * X2) * (-1.537)))) + (((-0.567) * X2) * ((-1.482) * X3)))) + (((((-0.232) * X1) / (((0.693 * X1) * ((-0.688) * X2)) * ((-1.482) * X3))) / ((cos(((-0.908) * X3)) * ((0.617 * X1) * ((-0.621) * X2))) + ((2.718 * X2) * ((0.693 * X1) * ((-0.688) * X2))))) + (((-0.567) * X2) * ((-1.482) * X3))))))),0.19507349748210812
q**2*a**2/(6*pi*epsilon*c**3),0.9999999999999717,((-0.000) + ((-7.150) * ((((-0.164) * X2) * (((((-0.164) * X2) * ((0.613 * X1) / (3.142 * X3))) / ((-0.235) * X4)) * ((((-0.343) * X4) * ((0.227 * X1) / ((-0.343) * X4))) / ((-0.338) * X4)))) / ((-2.029) * X4)))),1.2625080866661622
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.9999582355381555,(0.015 + ((-19.186) * (((((0.509 * X5) * (0.133 * X4)) * (((-1.766) * X3) / (((0.651 * X5) + ((-0.570) * X6)) / (0.114 * X3)))) * (((0.318 * X1) * (((0.318 * X5) * (0.133 * X4)) * ((((-2.256) * X2) / ((-0.570) * X6)) + (((-0.008) * X5) / ((-0.540) * X6))))) * ((0.509 * X5) / ((-0.540) * X6)))) * (((((0.318 * X5) / sin(((-0.128) * X2))) * (((-2.256) * X2) / ((-0.570) * X6))) / (0.133 * X5)) * ((((-1.814) * X5) + ((0.509 * X5) / ((-0.570) * X6))) - ((0.434 * X5) / ((-0.570) * X6))))))),8.452084735689912
q*v*B/p,0.9999999999999121,((-0.000) + (0.088 * (((-0.164) * X2) * (((1.508 * X3) / ((-0.137) * X4)) * (6.283 * X1))))),12.406533945677511
