v1,v2,resultado
2.48082,0.93826,0.03067
0.51792,1.85863,0.49190
2.26181,0.85619,0.05215
0.49366,3.96200,0.23187
2.25558,2.21107,0.16105
2.15040,1.22384,0.09412
1.62310,2.21806,0.53008
2.32304,3.47084,0.08107
1.37767,0.83068,0.21749
3.97562,3.65331,0.00006
2.09450,2.52245,0.25141
3.05992,2.92435,0.01041
1.26006,2.65462,0.76363
2.28130,2.19799,0.14997
3.71759,1.58407,0.00030
1.73542,1.26089,0.21286
3.60832,0.72792,0.00026
1.05396,0.72200,0.22862
0.78653,2.97941,0.66823
1.51660,0.74783,0.17933
0.40688,0.73810,0.16342
0.76025,1.24858,0.34133
1.47427,3.78604,0.27982
3.49815,2.17598,0.00149
2.76180,1.25147,0.01626
1.71137,2.71866,0.48315
1.97888,3.47288,0.17870
3.58486,2.78898,0.00098
1.16295,1.11841,0.31324
2.39722,3.24978,0.08056
3.62459,3.80354,0.00035
3.67956,0.51745,0.00015
1.47299,2.84903,0.60488
1.94861,1.16205,0.13599
2.31346,0.71347,0.04056
1.14688,2.51775,0.81533
3.16817,1.57334,0.00441
0.41310,1.76951,0.40875
3.01037,0.51794,0.00343
2.54224,2.81998,0.07117
2.20861,0.51454,0.04513
1.72371,3.98308,0.17423
2.47558,2.34270,0.09255
2.03006,3.56071,0.14885
1.00055,2.72190,0.80049
1.40075,1.44664,0.36874
3.52526,1.68610,0.00091
1.54429,1.31012,0.28427
1.08052,0.92343,0.26958
3.70233,0.74800,0.00016
1.96093,1.60989,0.19935
3.77384,3.60187,0.00019
0.30432,2.06416,0.44342
1.15474,2.62183,0.80368
2.26503,0.42287,0.03660
3.96027,3.28271,0.00009
2.23131,2.51335,0.18294
3.15700,0.60515,0.00199
2.72868,3.52183,0.02245
2.54076,3.44881,0.04433
1.74953,2.76502,0.44888
3.65777,1.94434,0.00057
3.22690,0.55387,0.00141
3.51120,0.67555,0.00040
0.89976,1.76355,0.56820
2.61514,2.67910,0.05976
1.00657,2.31721,0.81073
2.98599,3.58824,0.00812
1.23996,1.74942,0.53537
3.66151,1.33406,0.00033
3.15963,1.41241,0.00396
1.47293,2.60041,0.66077
3.14755,3.88418,0.00319
2.90323,2.67071,0.02174
1.62161,1.04438,0.20474
1.62862,1.36006,0.26949
2.64133,3.49716,0.03081
3.01388,0.52276,0.00339
0.73053,3.95629,0.28004
3.71531,0.78671,0.00015
1.43807,2.39554,0.68162
1.89906,2.18169,0.34243
3.20594,3.86704,0.00251
3.12287,2.06748,0.00796
1.15167,2.40216,0.80794
2.42519,3.00920,0.08989
3.94399,3.27899,0.00010
2.70675,1.87309,0.03409
1.19951,0.74940,0.22534
0.87167,3.01299,0.67229
2.15387,2.90182,0.19399
1.39032,2.41443,0.71123
3.97824,0.87668,0.00004
0.40812,3.79435,0.24500
3.26478,2.45110,0.00492
3.46913,1.63564,0.00116
2.35441,1.95906,0.10700
2.11804,3.56323,0.12294
1.36847,1.88952,0.55513
1.12978,3.94886,0.29804
