v1,resultado
0.05000,-0.00001
0.15051,-0.00043
0.25101,-0.00278
0.35152,-0.00878
0.45202,-0.01913
0.55253,-0.03320
0.65303,-0.04944
0.75354,-0.06618
0.85404,-0.08229
0.95455,-0.09714
1.05505,-0.10996
1.15556,-0.11877
1.25606,-0.11962
1.35657,-0.10645
1.45707,-0.07214
1.55758,-0.01038
1.65808,0.08194
1.75859,0.20282
1.85909,0.34422
1.95960,0.49270
2.06010,0.63152
2.16061,0.74375
2.26111,0.81560
2.36162,0.83905
2.46212,0.81306
2.56263,0.74317
2.66313,0.63958
2.76364,0.51432
2.86414,0.37846
2.96465,0.23998
3.06515,0.10288
3.16566,-0.03221
3.26616,-0.16640
3.36667,-0.30035
3.46717,-0.43237
3.56768,-0.55734
3.66818,-0.66689
3.76869,-0.75074
3.86919,-0.79893
3.96970,-0.80427
4.07020,-0.76428
4.17071,-0.68222
4.27121,-0.56685
4.37172,-0.43094
4.47222,-0.28901
4.57273,-0.15474
4.67323,-0.03875
4.77374,0.05281
4.87424,0.11864
4.97475,0.16155
5.07525,0.18700
5.17576,0.20126
5.27626,0.20967
5.37677,0.21550
5.47727,0.21950
5.57778,0.22022
5.67828,0.21495
5.77879,0.20087
5.87929,0.17623
5.97980,0.14106
6.08030,0.09745
6.18081,0.04914
6.28131,0.00087
6.38182,-0.04268
6.48232,-0.07773
6.58283,-0.10207
6.68333,-0.11532
6.78384,-0.11873
6.88434,-0.11469
6.98485,-0.10604
7.08535,-0.09536
7.18586,-0.08448
7.28636,-0.07419
7.38687,-0.06434
7.48737,-0.05410
7.58788,-0.04240
7.68838,-0.02842
7.78889,-0.01188
7.88939,0.00674
7.98990,0.02629
8.09040,0.04514
8.19091,0.06151
8.29141,0.07388
8.39192,0.08122
8.49242,0.08319
8.59293,0.08012
8.69343,0.07294
8.79394,0.06292
8.89444,0.05140
8.99495,0.03959
9.09545,0.02839
9.19596,0.01830
9.29646,0.00951
9.39697,0.00192
9.49747,-0.00468
9.59798,-0.01048
9.69848,-0.01560
9.79899,-0.01998
9.89949,-0.02348
10.00000,-0.02587
