v1,v2,v3,v4,v5,resultado
3.50103,5.91822,5.56081,4.62357,0.46026,0.34001
4.49297,4.50120,0.37929,2.08813,1.12127,0.48282
5.13577,5.45479,1.20606,2.53682,0.16187,0.36934
3.40875,5.51566,3.94481,0.07086,3.08722,0.47674
4.06418,0.09368,1.81343,2.97174,3.92858,0.59346
0.29082,2.54623,2.80541,4.83572,1.75894,0.57164
3.31183,2.67382,5.30326,4.49723,1.07929,0.60829
4.29576,4.99284,0.12879,1.75633,4.10969,0.46142
5.74084,3.13825,3.10729,3.73538,3.48992,0.75055
3.14740,2.63100,1.31420,2.67909,5.86148,0.61384
4.36124,1.37735,3.24478,4.11908,1.34989,0.73959
3.37557,4.16965,0.98857,0.33413,0.81231,0.44548
0.73995,1.29117,2.39092,1.17640,4.39384,0.53570
0.19164,0.06516,3.12168,2.20625,0.14448,0.33004
0.61727,2.60273,4.07690,2.49833,4.34175,0.71190
3.07124,0.05489,3.94472,1.47678,4.64444,0.51032
0.57912,1.90707,2.12501,3.16628,5.28191,0.55385
0.96846,2.99020,0.44484,5.33989,5.05981,0.39410
4.98958,1.08208,0.85152,5.89217,3.80733,0.38067
0.50096,1.19558,1.29154,4.56100,1.81526,0.47036
5.63316,0.89749,3.94324,4.63389,4.37407,0.45868
2.37733,4.35066,4.73759,5.08159,3.59131,0.67051
0.23499,0.77302,3.51665,5.30282,3.43854,0.42796
5.83252,4.68446,5.39340,0.32337,3.61036,0.34334
3.04866,0.20928,3.23682,0.08433,3.01986,0.46843
5.90820,5.15378,1.65401,1.17128,4.16427,0.40638
4.41879,3.92689,1.95693,0.51341,2.76171,0.65789
1.31827,4.65269,0.76359,0.48872,4.25355,0.42664
4.14170,2.40580,1.86463,3.41497,3.39029,1.20917
2.95379,1.23697,2.51289,3.41962,1.99404,1.04869
0.79011,4.89225,0.90710,4.25485,2.52092,0.50894
2.25698,4.20306,5.85808,5.18727,5.57531,0.37616
4.05318,3.10950,5.14568,3.69143,5.32631,0.60187
2.62069,2.07242,2.73274,1.69554,3.21435,1.27824
3.94418,2.04972,2.86506,0.71658,2.92771,0.83112
5.54610,5.85519,2.95532,0.56262,1.26936,0.34999
5.23670,3.22253,2.49816,5.78356,5.50711,0.41088
0.69013,2.10595,0.09213,2.86534,0.99757,0.42340
2.14569,0.28849,4.83084,4.00603,5.14434,0.45363
