Original,R2,Modelo,RMSE,Iteración_independiente
2 * Cain / (1 + exp(-5.7 * t)),0.9999712347911772,1.99512*X1 + 0.031296*X2 + 1.956*exp(0.200704*X2**2*exp(-1.338*X2)) - 2.111,0.0113795320126618,0
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9998942719244828,0.223374*X1 - 0.0128380596487742*X1/X2**2 + 0.177*cos(0.183*X2*cos(cos(0.395*X1))) - 0.175,0.0022032536071867,0
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9982460562479848,0.19817*X1 - 0.0470577281191806*X1/X2 + 0.30058*X2*exp(-0.836*X2) - 0.19*cos(0.154*X2) + 0.069,0.0079743546546096,0
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9996829322657476,(0.362851938*X1*X2 - 0.137757*X1 + 0.001*exp(0.444*X2))*exp(-0.444*X2),0.0041809912420608,0
2 * Cain / (1 + exp(-5.7 * t)),0.9999839021556636,2.004402*X1 - 0.0121833333333333*X1/X2 + 1.462*cos(exp(-2.074*X2)) - 1.457,0.008524779810372,1
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999931448945788,0.216527*X1 - 0.293*exp(cos(cos(sin(exp(cos(exp(0.293*X1 - 2.229*X2))))))) + 0.538,0.0017615290437943,1
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9996279940017206,0.18414*X1*cos(0.111*X2) - 0.0258859784283513*X1/X2**2,0.00368220857323,1
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9987764127950104,0.25506*X1*sin(0.632*X2) - 0.07293*X1*exp(-2.150738*X2**2) + 0.004,0.0082245377660761,1
2 * Cain / (1 + exp(-5.7 * t)),0.9999772302922876,1.992782*X1 + 0.058366*X2 + 0.529463*X2*exp(-0.824*X2) - 0.305,0.0101298171493539,2
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999869536139254,0.2163*X1 - 0.102747404844291*X1*exp(-2.954*X2)/X2,0.0007797471058429,2
