Original,R2,Modelo
2 * Cain / (1 + exp(-5.7 * t)),0.9999999966340578,2.001138*X1 - 1.800946*X1*exp(-5.581*X2)
2 * Cain / (1 + exp(-5.7 * t)),0.999999903320662,(-4.009725*X2*(1.021*X1 - 1.241*X2 + sin(1.772*X2)) + (1.999431*X1 - 0.001)*exp(6.283*X2))*exp(-6.283*X2)
2 * Cain / (1 + exp(-5.7 * t)),0.9999997863955982,2.005425*X1 - 8.49504384292794*exp(-3.887*X2)*sin(0.045*X1)/X2
2 * Cain / (1 + exp(-5.7 * t)),0.9999994643685874,(1.995136*X1 + 0.480921212121212)*cos(exp(-2.456*X2)) - 0.513
2 * Cain / (1 + exp(-5.7 * t)),0.9999994022079997,0.738144*X1*exp(cos(0.02*X2))*cos(0.2710027100271*exp(-0.976*X2)/X2)
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999988541644232,0.2163*X1 - 0.490486*X1*exp(-4.71*X2)
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999952707472538,0.216496*X1 - 0.425936*X1*exp(-4.47*X2)
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999937193487392,0.216056*X1 - 0.0233670129266946*X1*exp(-1.103*X2)*cos(0.922*X2)/X2**2
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999922087481468,0.216216*X1 - 0.124552661381653*X1*exp(-3.293*X2)/X2
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999988991967988,0.331*X1*(1.199*X2 + 0.0213472485768501)*cos(exp(exp(-3.98*X2)))/X2
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9999571497223196,0.173019*X1 - 0.0616478646253022*X1/(X2*(0.045796*X2**2 - exp(0.743044*X2**2))**2)
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999888984912582,(-0.4015*X1 + 0.135371565*X2**2 + (0.1752*X1 - 0.004)*exp(3.056*X2))*exp(-3.056*X2)
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9998834403045536,0.173689*X1 - 0.424907*X1*exp(-3.216*X2)
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9998730890274808,0.173046*X1 - 0.538919*X1*exp(-3.598*X2)
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9997727143215948,0.172508*X1*exp(-exp(-2.466464*X2**2 + exp(-5.218*X2)*cos(0.327*X2)))
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.99996280865467,-1.377462*X1*sin(exp(exp(-1.789*X2))) + 1.42158*X1 - 0.002
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9998752917277492,X1*(-0.216603*exp(-1.077*X2 - sin(1.766*X2)) + 0.291879*sin(0.638*X2))
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997919120408284,X1*(0.311308*sin(0.506*X2) - 0.0253025*cos(2.274*X2) - 0.0253025)
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997645131826296,0.27579944*X1*X2*exp(-0.391*X2) - 0.1587*X1*exp(-1.371*X2) + 0.001
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997013823805694,0.205501296*X1*X2*(sin(0.13*X2) + sin(0.236*X2))*exp(cos(0.878*X2)) - 0.001
