Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
16,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-83.949) * ((((2.283 * X1) - (0.574 * X1)) - (1.686 * X1)) / (((0.347 * X1) - (2.303 * X1)) - ((2.303 * X1) / (0.318 * X1)))))),1.93082700000001*X1/(1.956*X1 + 7.24213836477987),1.74095361454602e-05,-3.948979960010959,4.329521417617798
4,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.000 + (7048042496.000 * (exp(((9.077 * X1) / ((-0.412) * X1))) / ((((-0.527) * X1) - 1.952) + exp(((3.340 * X1) / ((-0.412) * X1))))))),(0.527*X1 + 0.0467359526147717)/(0.527*X1 + 1.95169851675531),2.0101757586241298e-05,-3.948979960010959,4.434686660766602
5,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.671 + (35.777 * (((3.206 - ((-0.422) * X1)) - (3.264 - ((-0.415) * X1))) / ((3.124 - ((-0.422) * X1)) - ((-0.422) * X1))))),(0.816763*X1 + 0.0211380000000063)/(0.844*X1 + 3.124),2.0101757586241298e-05,-3.948979960010959,4.263811826705933
7,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.000 + (10.629 * ((((0.582 * X1) - (-2.918)) - ((0.582 * X1) - (-2.754))) / (1.009 - ((0.472 * X1) - (-2.754)))))),(0.472*X1 + 0.00184399999999862)/(0.472*X1 + 1.745),2.0101757586241298e-05,-3.948979960010959,3.9529266357421875
21,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-0.000) + (0.004 * (((0.640 * X1) / (((-0.498) * X1) + (0.508 * X1))) / (((0.624 * X1) / (((-0.479) * X1) * ((-1.484) * X1))) - (-0.237))))),0.256*X1/(0.237*X1 + 0.877839614200744),2.0101757586241298e-05,-3.948979960010959,3.9831583499908447
27,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-18.618) + (19.618 * (((0.523 * X1) + (1.748 * 1.051)) / ((0.523 * X1) + (1.854 * 1.044))))),(0.523*X1 + 0.00461549599999245)/(0.523*X1 + 1.935576),2.0101757586241298e-05,-3.948979960010959,3.8577239513397217
29,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(19.785 + ((-9.013) * ((((1.523 * X1) + 7.216) + ((1.991 * X1) + 6.479)) / ((1.686 * X1) + 6.239)))),(1.685828*X1 + 0.00557999999999481)/(1.686*X1 + 6.239),2.2473682138136636e-05,-3.948979960010959,3.819430112838745
2,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-0.000) + (0.044 * (((((-0.002) * X1) * (0.024 * X1)) - (0.474 * X1)) / ((-0.113) * (0.691 - ((-0.187) * X1)))))),X1*(2.112e-6*X1 + 0.020856)/(0.021131*X1 + 0.078083),2.2474310003951683e-05,-3.948979960010959,4.32037091255188
9,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-0.570) + ((-42.746) * (((1.140 - ((-0.004) * X1)) - (1.125 + ((-0.008) * X1))) / (((-0.296) * X1) - (1.140 - ((-0.012) * X1)))))),(0.337392*X1 - 0.00861000000000411)/(0.308*X1 + 1.14),2.2474337869248545e-05,-3.948979960010959,3.8550217151641846
12,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(12.856 + ((-11.919) * ((exp(2.063) + (1.960 * X1)) / (exp(1.987) + (1.971 * X1))))),(1.977936*X1 - 0.0303044178800178)/(1.971*X1 + 7.29362004802934),2.2474337869248545e-05,-3.948979960010959,4.027721166610718
10,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(19.199 + ((-0.587) * ((exp(((-0.003) * X1)) / ((0.160 * X1) - (-0.592))) - ((((-1.830) * X1) / (0.108 * X1)) / 0.548)))),1.04865531224656 - 0.587*exp(-0.003*X1)/(0.16*X1 + 0.592),2.247452882269361e-05,-3.948979960010959,4.162259101867676
15,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(11.054 + (10.522 * (((-1.349) - ((-0.104) - ((-0.306) * X1))) / (((-0.086) - ((-0.320) * X1)) - (-1.270))))),(0.317548*X1 - 0.0119539999999994)/(0.32*X1 + 1.184),2.4618724448092983e-05,-3.948979960010959,4.07002592086792
20,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(8.894 + (8.105 * ((0.033 - (((-0.093) * X1) - 0.355)) / (((-0.038) * (-0.291)) + (((-0.095) * X1) - 0.364))))),(0.0911650000000001*X1 - 0.00567385200000015)/(0.095*X1 + 0.352942),2.4618724448092983e-05,-3.948979960010959,3.777460813522339
26,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(5.036 + ((-0.052) * (((((-0.159) * X1) + (-0.734)) / (((-0.159) * X1) + (-0.588))) / exp((((-1.428) * X1) / (0.328 * X1)))))),(0.157784147157145*X1 - 0.00686880494752096)/(0.159*X1 + 0.588),2.461895926025327e-05,-3.948979960010959,4.078383445739746
13,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.985 + (1.327 * ((exp(((-0.009) * X1)) - (-1.198)) / (((-1.616) + ((-0.436) * X1)) * 1.831)))),-1.327*(1.198 + exp(-0.009*X1))/(0.798316*X1 + 2.958896) + 0.985,2.4619497363009172e-05,-3.948979960010959,4.53807806968689
23,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.974 + ((-0.072) * (exp(((0.045 * X1) * (-0.170))) / (((0.046 * X1) + 0.169) / ((0.534 * X1) / (0.235 * X1)))))),0.974 - 0.072*exp(-0.00765*X1)/(0.0202434456928839*X1 + 0.07437265917603),2.4619497363009172e-05,-3.948979960010959,3.9465858936309814
