Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
2,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.020) + (0.062 * (((-0.386) - (3.874 * X1)) * (((-0.386) - (2.332 * X2)) / (((-0.386) / ((-0.965) * X2)) + (2.687 * X2)))))),(-0.05374*X2**2 + 0.062*X2*(3.874*X1 + 0.386)*(2.332*X2 + 0.386) - 0.008)/(2.687*X2**2 + 0.4),0.00407309589082144,,3.933903932571411
24,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.450) + (0.449 * (((0.484 * X1) + exp((exp(((-0.667) * X1)) * exp(((-3.209) * X2))))) / exp(exp(((-3.944) * X2)))))),(0.217316*X1 - 0.45*exp(exp(-3.944*X2)) + 0.449*exp(exp(-0.667*X1 - 3.209*X2)))*exp(-exp(-3.944*X2)),0.010693241934105407,,4.842405796051025
15,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.001) + (0.338 * ((0.641 * X1) - ((0.847 * X1) * exp(((exp((1.811 * X2)) * (0.184 * X2)) / ((-0.040) - (0.171 * X2)))))))),0.216658*X1 - 0.286286*X1*exp(-0.184*X2*exp(1.811*X2)/(0.171*X2 + 0.04)) - 0.001,0.015102169188889895,,4.2420549392700195
17,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.002 + ((-3.394) * ((((-0.174) * X1) + exp(((-13.342) * X2))) / exp(exp(exp(((-3.134) * X2))))))),0.590556*X1*exp(-exp(exp(-3.134*X2))) - 3.394*exp(-13.342*X2 - exp(exp(-3.134*X2))) + 0.002,0.015742656206889097,,4.672290563583374
16,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.001 + (0.869 * ((0.249 * X1) + ((((-0.316) * X1) - 0.033) / exp((3.694 * X2)))))),(-0.274604*X1 + (0.216381*X1 + 0.001)*exp(3.694*X2) - 0.028677)*exp(-3.694*X2),0.016584434597794125,,3.8108632564544678
10,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-0.140) * ((((-1.578) * X1) / exp((0.009 * X2))) - (((-2.078) * X1) / exp((3.539 * X2)))))),-0.29092*X1*exp(-3.539*X2) + 0.22092*X1*exp(-0.0089999999999999*X2),0.016717990693705824,,3.9997353553771973
26,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-0.156) * ((exp(((-3.557) * X2)) * (1.876 * X1)) - ((1.420 * X1) + (((-0.269) * X2) * (0.042 * X1)))))),-0.001762488*X1*X2 + 0.22152*X1 - 0.292656*X1*exp(-3.557*X2),0.016922556376083232,,4.126615285873413
9,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.004 + ((-0.194) * ((exp(((-3.556) * X2)) * (1.495 * X1)) - (((0.021 * X2) - (1.735 * X1)) * (-0.646))))),0.21743714*X1 - 0.29003*X1*exp(-3.556*X2) - 0.002631804*X2 + 0.004,0.017018966511497126,,3.8052215576171875
0,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.001 + (0.282 * (((1.000 * X1) * exp((-0.263))) - ((0.078 - ((-0.995) * X1)) * exp(((-3.705) * X2)))))),(-0.28059*X1 + (0.216785215041747*X1 + 0.001)*exp(3.705*X2) - 0.021996)*exp(-3.705*X2),0.017128163901527847,,3.820434093475342
6,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.003 + ((-0.605) * (((0.483 * X1) / exp((3.614 * X2))) - (((0.843 * X1) - (0.483 * X1)) + ((-0.003) * X2))))),0.2178*X1 - 0.292215*X1*exp(-3.614*X2) - 0.001815*X2 + 0.003,0.01757437663141816,,4.396713018417358
18,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + (0.253 * ((0.860 * X1) - ((1.157 * X1) * exp(((-3.696) * X2)))))),0.21758*X1 - 0.292721*X1*exp(-3.696*X2),0.018059247208440113,,3.779287338256836
3,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-0.241) * (((-0.903) * X1) + ((1.215 * X1) * exp(((-3.696) * X2)))))),0.217623*X1 - 0.292815*X1*exp(-3.696*X2),0.018067833563760825,,3.916658401489258
19,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-0.383) * ((exp(((-3.697) * X2)) * ((-0.316) * ((-2.413) * X1))) + ((-0.567) * X1)))),0.217161*X1 - 0.292040564*X1*exp(-3.697*X2),0.018087395733939433,,3.70847487449646
25,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + (0.415 * ((0.523 * X1) - ((0.704 * X1) * exp(((-3.697) * X2)))))),0.217045*X1 - 0.29216*X1*exp(-3.697*X2),0.018087931849199473,,3.708185911178589
11,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.576) + ((-0.481) * (((((-0.484) * X1) - (exp(((-2.477) * X2)) - (0.034 * X1))) - exp(0.179)) / exp(exp(((-3.029) * X2)))))),0.481*(0.45*X1 + 1.19602074416788 + exp(-2.477*X2))*exp(-exp(-3.029*X2)) - 0.576,0.020072835334938297,,4.2521138191223145
29,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.000) + ((-0.550) * (((0.158 * ((-0.460) * X1)) + exp(((-22.824) * X2))) / (0.185 + exp(((-6.012) * X2)))))),(0.039974*X1*exp(22.824*X2) - 0.55)*exp(-16.812*X2)/(0.185*exp(6.012*X2) + 1),0.024475491006166913,,4.27135443687439
28,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-6679.166) + ((-0.543) * (((((-0.407) * X1) - (-0.234)) - exp(9.417)) + exp((((-1.232) * X2) / ((0.148 * X1) - (-0.060))))))),0.221001*X1 - 2.76058857485714 - 0.543*exp(-1.232*X2/(0.148*X1 + 0.06)),0.02487783849971336,,4.036574602127075
14,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.006 + ((-0.160) * (exp(((0.657 * X1) - (3.766 * X2))) - ((((-0.358) * X1) + ((0.018 * X2) * 0.222)) / (-0.264))))),0.216969696969697*X1 - 0.00242181818181818*X2 - 0.16*exp(0.657*X1 - 3.766*X2) + 0.006,0.0420462108241187,,3.7877299785614014
21,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.008 + ((-0.408) * (((0.092 / (2.910 * X2)) + ((0.009 * X2) + ((-0.541) * X1))) + exp(((2.525 * X2) / ((-0.388) * X1)))))),0.220728*X1 - 0.003672*X2 + 0.008 - 0.408*exp(-6.50773195876289*X2/X1) - 0.0128989690721649/X2,0.05717950659050003,,3.8700509071350098
7,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.001) + (0.059 * (((0.675 * X1) / exp((-1.712))) - (((0.494 * X1) / exp((1.451 * X2))) / ((0.521 * X2) - (-0.060)))))),(-0.029146*X1 + (0.220631713303585*X1 - 0.001)*(0.521*X2 + 0.06)*exp(1.451*X2))*exp(-1.451*X2)/(0.521*X2 + 0.06),0.05739475089224924,,4.0019896030426025
5,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.002) + ((-0.176) * (((-1.231) * X1) + (exp(((9.173 * X2) * (((-0.640) * X2) - (-0.412)))) / ((7.324 * X2) / (0.649 * X1)))))),0.216656*X1 - 0.015595849262698*X1*exp(-5.87072*X2**2 + 3.779276*X2)/X2 - 0.002,0.22492303873905597,,4.0672595500946045
22,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",((-0.062) + (0.130 * ((exp(((-0.709) * X2)) / (0.647 / (0.673 * X2))) + (((0.436 * X1) / ((-2.594) * X2)) - ((-1.751) * X1))))),0.22763*X1 - 0.0218504240555127*X1/X2 + 0.135224111282844*X2*exp(-0.709*X2) - 0.062,0.31842768235134183,,4.063617706298828
4,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.033 + (0.099 * (((2.292 * X1) - ((0.747 * X1) / (3.366 * X2))) - (exp(((-1.897) * X2)) - ((-0.145) * X2))))),0.226908*X1 - 0.0219705882352941*X1/X2 - 0.014355*X2 + 0.033 - 0.099*exp(-1.897*X2),0.3219158909922916,,4.080605745315552
23,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.051 + (0.325 * ((0.693 * X1) - (((0.424 * X1) + exp(((0.678 * X2) - (0.693 + exp(((-6.123) * X2)))))) / (6.880 * X2))))),1.0*(0.225225*X1*X2 - 0.0200290697674419*X1 + 0.051*X2 - 0.0236226625873728*exp(0.678*X2 - exp(-6.123*X2)))/X2,0.3350782192290248,,4.130627632141113
13,Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),"add,sub,mul,div,exp,constant,variable",(0.023 + (0.264 * (((0.176 + (0.267 * X1)) / ((-3.667) * X2)) + ((((-0.014) * X2) * (((-1.279) * X1) - ((-1.166) * X2))) + (0.828 * X1))))),(-0.019222252522498*X1 + X2*(0.218592*X1 + 0.003696*X2*(1.279*X1 - 1.166*X2) + 0.023) - 0.0126708481047178)/X2,0.3430090648508623,,3.6761186122894287
