Original,R2,Modelo
2 * Cain / (1 + exp(-5.7 * t)),0.999999991884088,1.0*(1.734*X1*exp(4637360.5*X2) - 1)*(1.15384615384615*exp(5.527*X2) - 1)*exp(-4637366.027*X2)
2 * Cain / (1 + exp(-5.7 * t)),0.9999993427022908,2.0*X1 - 3.246*X2/(exp(-0.458*X1 + 6.384*X2) + cos(15.072*X2)) + 0.001
2 * Cain / (1 + exp(-5.7 * t)),0.9999986699563868,2.002*X1 - 0.001*X2 + 0.001
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999999899891309,X1*(-0.003024*X1 + 2.228904*X2 + 0.216*exp(5.28*X2) - 0.872)/(-0.014*X1 + 10.319*X2 + exp(5.28*X2))
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999999742549603,0.061*X1*exp(5.194*X2)/(0.283045977011494*exp(5.194*X2) + 1)
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999885435976832,0.216*X1 - 1.0*exp(X2*(0.662806*X1 - 0.780763*X2 - 5.617*cos(0.003*X1)))
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999999925206426,0.173*X1 - 2.058*X1*exp(-4.614*X2)*sin(0.826*X2)
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9999933754974426,(0.173*X1*(-0.063*X1 + 22.202*X2 + exp(4.548*X2)) - 1.744*X1 - 0.021*X2)/(-0.063*X1 + 22.202*X2 + exp(4.548*X2))
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9996241468097664,(0.018962*X1*(0.015*X1 + 12.525*X2 - cos(3.133*X2)) + 0.001*exp(0.494*X2))*exp(-0.494*X2)
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9999152036283164,0.01002*X2*(33.249*X1 - sin(4.452*X2))*exp(cos(0.874*X2))*sin(0.219*X2) - 0.001
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9998265839960476,0.065329605*X1*X2*exp(0.637*X2 + cos(1.129*X2))*sin(0.869*X2)
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997475061710488,-0.152152*X1*((0.004*X1 - 1.841*X2)*exp(0.903*X2) + 1)*exp(-1.298*X2)
