v1,v2,resultado
1.97385,1.48822,0.69244
0.78082,1.21240,0.27370
2.86581,0.40398,0.90500
2.29953,0.22032,0.57703
1.14418,1.89510,0.40146
1.53817,2.83252,0.53971
1.00174,1.08336,0.35076
2.01416,2.26726,0.70672
1.08474,0.39424,0.34038
2.59151,1.18413,0.90824
2.01826,1.19507,0.70738
2.66875,1.62234,0.93631
0.80020,0.29850,0.22955
2.02142,2.16555,0.70927
2.94732,1.31077,1.03356
0.98697,0.18839,0.22797
1.72802,2.77637,0.60632
2.66601,0.71945,0.91995
1.65853,1.35950,0.58169
0.74682,1.88952,0.26204
2.19701,0.61172,0.74729
1.40447,2.58106,0.49279
0.54325,2.17421,0.19061
2.07621,1.37146,0.72820
1.43427,1.96067,0.50325
1.85419,1.73925,0.65056
0.68634,1.41821,0.24075
2.91307,0.88610,1.01558
1.07871,1.16092,0.37799
1.84450,1.40478,0.64698
2.08063,2.79130,0.73005
0.87420,1.14955,0.30630
0.66724,0.33795,0.20001
2.82339,2.83051,0.99066
0.72086,1.00491,0.25211
2.56380,1.52315,0.89943
2.29944,1.52898,0.80669
1.86837,1.75580,0.65554
2.92797,0.73818,1.01207
1.91670,2.06068,0.67252
1.65158,0.75609,0.57171
1.55408,0.07937,0.19844
0.59918,0.36654,0.18422
2.40611,1.58512,0.84415
1.66204,2.20724,0.58317
1.29112,0.23164,0.33204
2.26672,1.09734,0.79381
2.90999,2.14211,1.02104
1.48950,0.12841,0.27126
2.34095,0.86018,0.81529
1.13906,1.68427,0.39964
1.29532,0.57547,0.43740
1.69521,1.67882,0.59477
2.21382,0.24213,0.58138
2.13801,0.12680,0.38604
2.09840,0.04128,0.15436
1.38424,1.70403,0.48567
2.78581,2.80565,0.97748
2.68714,1.57407,0.94273
1.21729,0.86711,0.42407
2.19342,0.58819,0.74269
1.30887,2.77831,0.45925
2.14762,0.34232,0.64647
0.79471,2.36222,0.27884
2.23135,2.41971,0.78293
0.87352,2.58211,0.30650
0.71363,2.88733,0.25040
2.20993,2.92898,0.77541
1.66759,2.45072,0.58512
1.15747,2.74842,0.40613
0.50772,0.36293,0.15564
1.40249,2.74659,0.49210
1.99542,0.58487,0.67518
1.00573,1.50672,0.35282
2.77668,2.75437,0.97427
2.94894,1.26760,1.03396
1.52090,1.60154,0.53359
1.89362,0.53755,0.63340
2.52602,2.79387,0.88632
2.17746,2.75292,0.76402
0.51578,1.49567,0.18094
1.74044,1.94597,0.61067
2.57035,1.83974,0.90185
2.10871,2.54699,0.73990
1.80166,0.28140,0.50504
2.60958,0.36562,0.80171
0.70127,2.72091,0.24606
1.43962,1.75712,0.50511
1.49147,0.01714,0.04871
1.05738,1.14302,0.37046
0.92950,1.22740,0.32584
1.59629,2.54613,0.56010
0.95873,2.86762,0.33640
2.52000,1.72570,0.88416
0.76789,2.13819,0.26943
0.97889,1.28586,0.34325
1.28983,2.91435,0.45257
1.90287,1.99980,0.66767
1.26247,0.31364,0.36885
1.68390,2.23500,0.59084
