v1,v2,v3,resultado
2.60398,3.25134,2.93877,0.91196
2.02782,1.77741,1.03884,0.52737
3.26402,1.52144,0.93329,0.52117
3.81208,3.50186,1.22550,0.73245
1.87859,1.73962,0.87409,0.50006
1.49640,3.04938,1.34564,0.72359
2.34745,1.29766,3.43967,0.92543
1.54646,3.10856,3.17077,0.98190
2.06930,1.06699,3.80476,1.00945
3.29572,1.97797,3.46090,0.91003
1.52247,3.68857,3.39123,1.04531
1.20892,1.45161,1.00003,0.47919
1.73499,3.55668,2.36219,0.88865
1.04309,3.21148,2.68795,0.95167
3.51809,1.63847,3.98858,0.97624
0.75750,3.62657,0.54012,0.79716
0.78804,2.09901,1.83193,0.73699
0.63667,3.57704,0.78831,0.80476
1.47509,2.97413,1.73575,0.76539
2.49172,2.84406,1.02565,0.65121
3.21894,3.52410,1.85845,0.79056
2.01880,3.12981,1.45343,0.72870
1.72208,1.49205,1.11905,0.50403
3.79277,1.37452,1.12587,0.54861
2.72165,0.56241,1.57268,0.55781
3.57179,0.87955,1.04453,0.50622
3.65013,1.35828,0.54184,0.49544
1.18483,1.27667,1.00016,0.45668
2.58261,3.89240,1.30420,0.78059
2.76126,1.01958,1.98546,0.64177
2.11997,3.96140,3.75425,1.07173
2.61001,3.67182,2.22957,0.85208
1.66466,3.96918,3.75719,1.09722
3.54584,3.77202,1.81428,0.80314
3.68776,1.65515,1.58808,0.61964
1.30402,2.25237,0.60470,0.55256
3.95842,3.55952,2.34650,0.83821
3.98020,2.94885,3.27369,0.91042
1.57882,2.91784,2.20954,0.82365
3.48920,2.73032,1.88580,0.73063
2.37273,2.62592,2.74469,0.85414
1.66847,3.47770,1.17149,0.74928
3.01160,2.16336,1.60802,0.65003
1.42657,2.07622,1.37362,0.61627
2.41726,3.36018,2.77134,0.90236
1.55406,3.90652,2.39029,0.92813
0.87667,2.68231,2.80315,0.95053
1.89333,1.46269,3.95618,1.03971
2.75090,3.46784,2.64776,0.88444
1.36014,1.76920,2.98719,0.90139
1.68655,0.50037,3.62250,1.03685
0.50865,0.84541,1.40395,0.55638
0.84766,3.82193,2.56460,0.99411
2.56424,3.49957,1.63454,0.77345
0.58593,3.21104,1.66360,0.84459
2.09816,2.57476,1.99462,0.74514
2.52331,3.90271,3.43867,1.01362
3.68343,2.53004,2.98213,0.85749
0.73382,2.36524,3.50311,1.07195
3.78785,2.05654,0.56086,0.56314
3.32846,3.09655,3.21975,0.92198
1.25983,1.36994,0.69446,0.41802
2.78488,3.29024,2.83303,0.89569
2.27138,3.57030,1.44531,0.76692
3.78564,2.78562,1.16412,0.66489
3.52162,2.89948,3.00444,0.88103
1.58135,0.75694,3.70233,1.04060
1.97364,2.54072,2.65338,0.84821
3.78121,1.30336,2.66759,0.76660
3.77536,3.51226,1.08106,0.72423
3.56109,2.80408,1.10592,0.65958
0.74512,3.38407,1.66013,0.84648
3.84919,0.87108,0.90208,0.50247
2.03550,1.26092,2.33515,0.72341
1.42748,2.10124,1.49135,0.63841
0.64697,1.00454,3.25041,1.03745
0.93539,3.33636,3.17907,1.04152
3.09561,3.76285,2.12537,0.83828
3.05734,1.47370,2.98470,0.82770
3.40216,3.94266,1.55514,0.79531
1.91522,1.03024,0.76866,0.40350
0.55150,2.72497,3.36190,1.08225
1.26260,2.89254,1.58338,0.74637
1.17277,1.33489,1.31032,0.52859
3.80440,1.47394,3.93799,0.96128
1.31730,1.30103,3.54341,1.00994
0.90119,1.65445,2.96622,0.93419
2.35165,2.79515,1.22423,0.66436
2.64986,1.04519,1.29638,0.51595
1.06283,1.25591,0.60004,0.38540
1.61271,3.82831,2.34400,0.91333
1.17051,1.13308,0.97812,0.43457
2.80444,2.40491,0.59262,0.57728
3.99437,1.91802,2.40658,0.74871
1.80683,0.83661,3.17475,0.91088
2.36119,3.05718,1.58084,0.72949
0.87508,2.40337,2.36502,0.85530
3.25024,3.59654,1.51060,0.76331
1.74136,2.25749,3.45574,0.97588
2.75716,0.65395,3.67260,0.96872
1.92814,3.07475,0.97711,0.67959
1.47421,0.97999,0.73209,0.37449
3.65253,0.66811,0.67382,0.46657
2.61674,2.26894,2.78544,0.83403
1.66478,0.93765,3.19987,0.92164
2.33287,3.79233,3.87331,1.06857
3.87765,1.46805,2.43538,0.73491
1.65469,0.56866,3.56008,1.02016
0.88600,3.16992,3.46987,1.08085
2.29013,2.26586,1.01881,0.58417
2.00826,2.47444,1.17930,0.62609
0.50772,1.61154,2.93230,0.97563
3.35977,3.88924,2.85868,0.92238
3.07577,0.55219,1.09897,0.48543
3.68570,1.84206,2.62235,0.77629
3.75383,3.79293,3.97379,1.03327
