Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999888871072866,-0.001 + 0.397*exp(-0.495023*X1**2),0.00026140629731991516
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9919036772218834,-0.08598*X1 + 0.03*cos(1.126*X1) + 0.03*cos(1.113*X1 + 1.017*X2) + 0.48 - 0.160813953488372*X2/X1,0.0036556357341433242
q2*Ef,0.999999999999989,0.99974974*X1*X2,2.1415062309177094e-07
q*(Ef+B*v*sin(theta)),0.9707502293751994,1.057047094656*X1*X3*X4*sin(0.971*X5) - 7.340604824*X3*X4*exp(-0.963*X2 - 0.695*X5)*sin(0.971*X5) + 8.686,4.259295737244149
1/2*m*(v**2+u**2+w**2),0.9139298241734942,6.452813952*X1*X2*sin(0.166*X4) + 0.51382705752*X1*X3**2 + 2.532,5.990666192328561
G*m1*m2*(1/r2-1/r1),0.9999999430996893,(1.00066441110833*X1*X2*X5*(X3 - X4) - 0.003*X3*X4)/(X3*X4),0.001788092328610826
m*g*z,0.9999999999999856,1.00074272704*X1*X2*X3,7.763229662181325e-07
1/2*k_spring*x**2,0.9999999999999831,0.50008367871*X1*X2**2,4.7555958275540566e-07
(x-u*t)/sqrt(1-u**2/c**2),0.9891437126055732,(-0.534225*X1 + 1.576278*X4 + (2.013*X2 - 1.632*X3)*(0.969147*X1 - 1.529769*X2 - 1.415382*X4 + 2.344))/(2.013*X2 - 1.632*X3),0.14491725946890274
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9965987724914797,((1.111*X2 - 0.768*X4)*(-0.032648*X1 + 0.070808*X3 + 1.018872*X4 - 0.093) - 0.212*sin(1.255*X4))/(1.111*X2 - 0.768*X4),0.07577530696855182
m_0*v/sqrt(1-v**2/c**2),0.9992542847064863,0.436900182780802*X1*X2**2/X3 + 0.92808597*X1*X2 + 0.011,0.04985842081396979
(u+v)/(1+u*v/c**2),0.955044234139967,5.428*sin(0.258*X1)*cos(exp(0.499849*X3**2*(0.078*X1 - 0.464*X2))) - 0.679,0.2539869933968017
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9398949701360957,0.118 + 0.933*exp(-1.141*X1)*sin(1.15451895043732*X3/X2)*cos(0.235225*X2**2 - 0.62*X3),0.010602546060971853
(m1*r1+m2*r2)/(m1+m2),0.925023790887809,0.498069*X3 + 0.486837*X4 - 0.351*sin(0.423*X4) + 0.351*sin(0.989*X4)*cos(0.544*X2) + 0.374,0.25064773355297404
r*F*sin(theta),0.9999999999807041,1.000585728*X1*X2*sin(1.0*X3),3.65402111937662e-05
m*r*v*sin(theta),0.9999994878415064,0.244776*X3*(4.098345*X1*X2 + 5.7289761e-5*X4**4)*sin(1.0*X4) + 0.015,0.01518407092047189
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9913268177874253,0.159111289953*X1*X4**2*(X2 + 0.759259259259259*X3)**2 + 0.574408989*X1*X4*(X2 + 0.759259259259259*X3)**2*exp(-1.507*X2) - 0.906,0.7486535364453762
q/C,0.9999999999999809,1.00518072289157*X1/X2,3.458538842391871e-08
np.arcsin(n*sin(theta2)),0.998753896604969,1.779625*X1*sin(1.013*X2) - 0.575*sin(1.403*X1)*sin(1.039*X2) - 0.005,0.011321235576140704
1/(1/d1+n/d2),0.9962333708843492,(0.07062*X2 + 0.26763*X3 + (0.986013*X2 - 0.358974*X3)*sin(sin(0.279*X1)))/(0.214*X2 + 0.811*X3),0.020616169677976894
omega/c,0.999999999999992,1.00029599594526*X1/X2,3.006553766265322e-08
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.5785298122670163,0.590857*X1 + 0.770315*X2 + 0.459549613*(0.990403071017274*X3 - X4)**2 + 1.693*cos(sin(0.475*X2)**2) - 2.617,1.2620062994020207
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.44281259243671633,9.814 - 9.664*cos(sin(0.49271*X2*X3)),1.1177852645875237
sqrt((x2-x1)**2+(y2-y1)**2),0.8328619789478009,1.273734*X1*exp(-0.364*X2) + 0.230330808*(0.985875706214689*X3 - X4)**2 - 1.201 + 1.06327986348123*X2/X1,0.33619315740663425
np.arcsin(lambd/(n*d)),0.9999266744931882,(-1.85066666666667*X1 + 0.00066500544*X2**2*X3**2 - 0.0168770000000009*X2*X3)/(0.444444444444444*X1 - 2.007*X2*X3),0.0011871556502501851
q**2*a**2/(6*pi*epsilon*c**3),0.9965348300513334,0.302929948323876*X1**2*X2**2*exp(-1.952*X4)/X3 + 0.02,0.0525656174867856
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.8538753825202878,2128.492*exp(0.31921614*X1*X3*X4 - 3.52706552706553*X6/X5) + 0.528,2.2898813528272415
q*v*B/p,0.9999999999999921,0.999605107878788*X1*X2*X3/X4,3.90156213233877e-07
omega_0/(1-v/c),0.9968014361421088,0.096434368159204*X1*X3/X2 + 0.025 + 3.65205894314381*X2*X3/X1,0.10469479549736184
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9730041749201677,0.768834*X3 - 1.796124*X3*exp(-0.228*X1) - 0.726*sin(1.636*X2) + 0.477 + 5.75215384615385*X3/X1,0.2821712592679552
(h/(2*pi))*omega,0.9999999999999829,0.16191252*X1*X2,1.8272640290696647e-05
I1+I2+2*sqrt(I1*I2)*cos(delta),0.7874430421056411,19.733 - 19.349*sin(0.501*X3),1.4215126270887666
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.9999999999999852,0.317975265977183*X3**2*X4/(X1*X2**2),2.0419240877309226e-08
3/2*pr*V,0.9999999999999648,1.49907537*X1*X2,4.1818979555273846e-07
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.8448057559140315,(1.88199143538949*X2*(0.31*X1 + 0.127*X9)*(0.981*X3 + 0.547*X7) - 0.066*X4*X8)/(X4*X8),0.042463863996618695
1/(gamma-1)*pr*V,0.9998931559413968,0.113571612*X2*X3 + 0.002 + 3.50810672435551*X2*X3/X1**2,0.04184931956122191
n*kb*T/V,0.9999999999999648,0.997153112903226*X1*X2*X4/X3,3.0471146590557187e-07
n_0*exp(-m*g*x/(kb*T)),0.8639340679738284,(0.91546421686747*X1*X6 + 1.03683746987952*X3*X4 - 0.534*X3*(1.464*X2 + 0.887*X5))/(X3*(1.464*X2 + 0.887*X5)),0.24476606176676374
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9961163437453007,(0.0697186416171225*X1**2*X4*(1.385*X2 - 0.127*X3) + 0.017*X5**2)/X5**2,0.05959578879348304
mu_drift*q*Volt/d,0.9999999999999705,1.00051757114122*X1*X2*X3/X4,3.473130644090316e-07
mob*kb*T,0.9999999999999741,1.003992693848*X1*X2*X3,9.382845368728475e-07
1/(gamma-1)*kb*v/A,0.9999932353934429,1.06394288036794*X2*X4*(1.043*X1**2 + 3.29090504723625)/(X1**3*X3),0.005021375801750902
"n*kb*T*log(V2/V1,e)",0.9512995277695799,-0.068096*X1*(1.443*X4 - 1.453*X5)*(1.51*X1 + 3.808385*X2*X3 - 1.98*X5) + 0.177,5.682423095324939
sqrt(gamma*pr/rho),0.9915834152026679,0.144849714285714*X1*X2/X3 + 0.134056*X1 + 0.147368*X2 - 0.135824*X3 + 0.818,0.05655317954306607
m*c**2/sqrt(1-v**2/c**2),0.9999439992509049,21.969*(0.917*X1 + 0.007056*X2**2)*(0.059*X2 + 0.049184*X3**2) - 1.445,0.6462558469389246
