Original,R2,Modelo
exp(-theta**2/2)/sqrt(2*pi),0.9999999999999744,0.398468009143874*exp(-0.499849*X1**2)
exp(-theta**2/2)/sqrt(2*pi),0.9999999999999744,0.399369695844291*exp(-0.499849*X1**2)
exp(-theta**2/2)/sqrt(2*pi),0.9999999999999732,0.399*exp(-0.500212390515116*X1**2)
exp(-theta**2/2)/sqrt(2*pi),0.9999999999993602,0.399*exp(-0.49995161213776*X1**2)
exp(-theta**2/2)/sqrt(2*pi),0.999999999998795,0.58*exp(-0.499422*X1**2 - 0.691823899371069*cos(cos(0.055*X1)))
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9978795959629349,(0.001*X1**2 + (0.448426402554245*X1 - 0.166981603353533*X2)*cos(0.563181526619628*X2/X1))/X1**2
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9978594876245406,(-0.007124*X1**2 + 0.318*X1*exp(sin(cos(0.917582417582418*X2/X1))) - 0.00194737240537241*X2**2)/(1.781*X1**2 + 0.486843101343101*X2**2)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.997350324728926,(0.0218435*X2**2 + 0.02009*X2 + 0.362*sin(1.53057708871662*X2/X1) + 0.035*cos(cos(0.234*X1)))/(0.6241*X2**2 + 0.574*X2 + cos(cos(0.234*X1)))
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9968397812347576,(-0.002264192*X1**2 + 0.536326*X1 - 0.000376712*X2**2 - 0.216195*X2)/(1.132096*X1**2 + 0.188356*X2**2)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9967429368362556,(-0.005659641*X1**2 + 2.654262*X1 - 0.000833569*X2**2 - 1.090122*X2)/(5.659641*X1**2 + 0.833569*X2**2)
q2*Ef,0.9999999999999932,0.998403315*X1*X2
q2*Ef,0.9999999999999906,0.99564885*X1*X2
q2*Ef,0.99999999999999,1.000196407*X1*X2
q2*Ef,0.9999999999999898,1.00169784*X1*X2
q2*Ef,0.9999999999999892,0.998739252*X1*X2*cos(3.70407211917772e-5*X2**2/X1**2)
q*(Ef+B*v*sin(theta)),0.98696686986041,28.554316*X1*(0.032*X2*sin(0.872*X5) + 0.03488*X3*X4)*sin(0.939*X5) + 2.182
q*(Ef+B*v*sin(theta)),0.9861777792664996,0.44712*X1*(2.574*X2*cos(0.417*X5) + 2.152643*X3*X4)*sin(0.967*X5) + 4.81
q*(Ef+B*v*sin(theta)),0.9807570436455496,0.66550176*X1*X4*(1.532*X3 - cos(1.12*X2 - 0.978*X5))*sin(0.967*X5) + 7.274
q*(Ef+B*v*sin(theta)),0.979860079191658,0.754580253*X1*X4*(1.37*X3 + sin(0.752*X2 - 1.075*X5))*sin(0.958*X5) + 6.246
q*(Ef+B*v*sin(theta)),0.9791896074928012,2.16157032*X1*(0.466*X3*X4 + 1.14025085518814*sin(0.877*X5))*sin(0.95*X5) + 3.565
1/2*m*(v**2+u**2+w**2),0.9727176777256265,2.55421*X1*(0.601*X2 + 1.465*X3 + 0.879*X4)*exp(0.141*X2 - cos(0.174*X4)) - 0.311
1/2*m*(v**2+u**2+w**2),0.9651601866235904,0.487864512135*X1*X3**2 + 1.610532*X1*exp(0.296*X2 + 0.277*X4) + 0.854
