Original,RMSE,Modelo
exp(-theta**2/2)/sqrt(2*pi),2.620381955651744e-09,0.399*exp(-0.500048508498055*X1**2)
exp(-theta**2/2)/sqrt(2*pi),2.620381955651744e-09,1.084*exp(-0.500409*X1**2 - cos(0.02*X1))
exp(-theta**2/2)/sqrt(2*pi),2.620381955651744e-09,0.399*exp(-0.499510106951477*X1**2)
exp(-theta**2/2)/sqrt(2*pi),2.620381955651744e-09,0.398468009143874*exp(-0.499849*X1**2)
exp(-theta**2/2)/sqrt(2*pi),2.620381955651744e-09,0.399*exp(-0.499433*X1**2)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0018753658903237,(0.001*X1**2 + (0.448426402554245*X1 - 0.166981603353533*X2)*cos(0.563181526619628*X2/X1))/X1**2
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0018836135077723,(-0.007124*X1**2 + 0.318*X1*exp(sin(cos(0.917582417582418*X2/X1))) - 0.00194737240537241*X2**2)/(1.781*X1**2 + 0.486843101343101*X2**2)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0020917297628849,(0.0218435*X2**2 + 0.02009*X2 + 0.362*sin(1.53057708871662*X2/X1) + 0.035*cos(cos(0.234*X1)))/(0.6241*X2**2 + 0.574*X2 + cos(cos(0.234*X1)))
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0022853879599818,(-0.002264192*X1**2 + 0.536326*X1 - 0.000376712*X2**2 - 0.216195*X2)/(1.132096*X1**2 + 0.188356*X2**2)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0023167495849316,(-0.005659641*X1**2 + 2.654262*X1 - 0.000833569*X2**2 - 1.090122*X2)/(5.659641*X1**2 + 0.833569*X2**2)
q2*Ef,2.1415062309177094e-07,1.003591276*X1*X2
q2*Ef,2.1415062309177094e-07,1.00169784*X1*X2
q2*Ef,2.1415062309177094e-07,1.00160676*X1*X2
q2*Ef,2.1415062309177094e-07,1.00107483*X1*X2
q2*Ef,2.1415062309177094e-07,1.000196407*X1*X2
q*(Ef+B*v*sin(theta)),2.8431593288322987,28.554316*X1*(0.032*X2*sin(0.872*X5) + 0.03488*X3*X4)*sin(0.939*X5) + 2.182
q*(Ef+B*v*sin(theta)),2.927966931579338,0.44712*X1*(2.574*X2*cos(0.417*X5) + 2.152643*X3*X4)*sin(0.967*X5) + 4.81
q*(Ef+B*v*sin(theta)),3.4547146109621854,0.66550176*X1*X4*(1.532*X3 - cos(1.12*X2 - 0.978*X5))*sin(0.967*X5) + 7.274
q*(Ef+B*v*sin(theta)),3.5343084423392126,0.754580253*X1*X4*(1.37*X3 + sin(0.752*X2 - 1.075*X5))*sin(0.958*X5) + 6.246
q*(Ef+B*v*sin(theta)),3.5926674290930025,2.16157032*X1*(0.466*X3*X4 + 1.14025085518814*sin(0.877*X5))*sin(0.95*X5) + 3.565
1/2*m*(v**2+u**2+w**2),3.3727773506728638,2.55421*X1*(0.601*X2 + 1.465*X3 + 0.879*X4)*exp(0.141*X2 - cos(0.174*X4)) - 0.311
1/2*m*(v**2+u**2+w**2),3.811422471831378,0.487864512135*X1*X3**2 + 1.610532*X1*exp(0.296*X2 + 0.277*X4) + 0.854
