Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
19,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-32.935) * ((((-0.474) * X3) * (((-0.287) * X4) * (2.324 * X2))) * ((0.214 * X1) / ((-0.356) * X5))))),6.25918524911258*X1*X2*X3*X4/X5,0.00019086253162635104,0.999999999942956,54.52027106285095
24,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-1.614) * ((((-1.143) * X3) * ((-0.785) * X4)) * ((0.711 * X2) * ((2.191 * X1) / ((-0.359) * X5)))))),6.28401115408237*X1*X2*X3*X4/X5,0.0001908672207830465,0.9999999999429358,55.17147922515869
15,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (36.043 * (((-5.208) * X4) * ((((-1.783) * X2) / (2.177 * X5)) * ((0.009 * X3) * (4.730 * X1)))))),6.54468082875087*X1*X2*X3*X4/X5,0.0001909018377433281,0.9999999999429692,56.70115542411804
16,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (15.433 * (((1.443 * X3) * ((-0.027) * X1)) * (((1.545 * X4) / (0.069 * X5)) * ((-0.468) * X2))))),6.30094512762*X1*X2*X3*X4/X5,0.00019095543807512392,0.9999999999429544,56.35868310928345
2,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-31.935) * (((6.038 * X2) * (((-0.044) * X4) * ((-2.027) * X3))) * ((0.756 * X1) / ((-2.055) * X5))))),6.3266880852515*X1*X2*X3*X4/X5,0.00019096430239658294,0.9999999999429614,57.56802821159363
1,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (0.630 * ((((-1.416) * X3) / ((-1.208) * X5)) * ((((-1.073) * X4) * ((-2.435) * X1)) * (3.255 * X2))))),6.28038906763411*X1*X2*X3*X4/X5,0.00019097406961571042,0.9999999999429636,56.78271460533142
27,g_*mom*B*Jz/(h/(2*pi)),(0.000 + ((-15.282) * (((3.435 * X4) * (0.939 * X3)) * (((-0.443) * X2) * ((0.528 * X1) / (1.838 * X5)))))),6.27284665126851*X1*X2*X3*X4/X5,0.00019100075951044649,0.9999999999429791,55.97468280792236
7,g_*mom*B*Jz/(h/(2*pi)),(0.000 + (6.333 * (((((-0.569) * X2) * (1.414 * X1)) * ((-0.446) * X3)) / ((0.662 * X5) / (1.828 * X4))))),6.275151632501*X1*X2*X3*X4/X5,0.00019101810387218588,0.9999999999429722,58.527230739593506
23,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-0.901) * (((((-2.220) * X3) / ((-0.925) * X5)) * (2.303 * X4)) * ((1.157 * X2) * ((-1.092) * X1))))),6.2919602167968*X1*X2*X3*X4/X5,0.00019102166226898386,0.9999999999429607,54.83683395385742
22,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-339.966) * ((1.841 * X1) * ((((-1.587) * X3) / (1.570 * X5)) * ((0.084 * X2) * (0.118 * X4)))))),6.27087063580106*X1*X2*X3*X4/X5,0.00019103403751048986,0.9999999999429714,53.76697540283203
14,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (92.895 * ((((2.593 * X1) * (0.129 * X2)) * (((-1.661) * X3) * ((-0.191) * X4))) / (1.565 * X5)))),6.29902343268854*X1*X2*X3*X4/X5,0.00019103838380317165,0.9999999999429734,55.21816802024841
25,g_*mom*B*Jz/(h/(2*pi)),(0.000 + (15.668 * (((((-2.113) * X3) * (0.252 * X4)) * ((0.593 * X1) / (0.796 * X5))) * ((-1.013) * X2)))),6.29599930914989*X1*X2*X3*X4/X5,0.00019104661850040055,0.999999999943009,57.890937089920044
18,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-0.516) * ((((1.355 * X4) / (0.297 * X5)) * (((-1.807) * X2) * ((-1.162) * X1))) * ((-1.273) * X3)))),6.29252908776687*X1*X2*X3*X4/X5,0.0001910466505577047,0.9999999999429784,55.195709466934204
6,g_*mom*B*Jz/(h/(2*pi)),(0.000 + (2.135 * (((((-0.923) * X3) * ((-2.402) * X4)) * (((-1.140) * X2) / (0.945 * X5))) * ((-1.101) * X1)))),6.28684778158667*X1*X2*X3*X4/X5,0.00019105799613604183,0.9999999999429334,55.36146807670593
8,g_*mom*B*Jz/(h/(2*pi)),(0.000 + ((-33.065) * ((((-3.635) * X3) * (((-0.063) * X4) * ((-0.546) * X1))) * (((-0.516) * X2) / ((-0.338) * X5))))),6.31159517859231*X1*X2*X3*X4/X5,0.00019106384960641845,0.9999999999429503,56.80728530883789
13,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (2410.557 * (((((-0.025) * X3) * (1.772 * X1)) * (2.303 * X4)) / ((8.289 * X5) / ((-0.216) * X2))))),6.40865187635961*X1*X2*X3*X4/X5,0.00019107333928737323,0.9999999999429454,58.50306797027588
9,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-1.307) * ((((-0.894) * X1) * ((-2.284) * X4)) * ((((-2.678) * X3) * (1.290 * X2)) / (1.467 * X5))))),6.28462509249669*X1*X2*X3*X4/X5,0.0001910776702657657,0.999999999942907,55.92572903633118
17,g_*mom*B*Jz/(h/(2*pi)),(0.000 + ((-0.129) * ((((1.705 * X2) * (2.821 * X1)) * ((1.548 * X3) * ((-2.355) * X4))) / (0.359 * X5)))),6.3006390279702*X1*X2*X3*X4/X5,0.00019110259685017626,0.9999999999428815,55.92949080467224
29,g_*mom*B*Jz/(h/(2*pi)),(0.000 + ((-153.855) * (((-0.142) * X4) * (((0.819 * X1) / ((-3.980) * X5)) * (((-2.016) * X2) * (0.693 * X3)))))),6.2809386447647*X1*X2*X3*X4/X5,0.00019112214909287545,0.9999999999429531,55.8437979221344
26,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-41.607) * ((((-0.785) * X4) / ((-1.572) * X5)) * (((-0.594) * X2) * ((0.735 * X3) * (0.693 * X1)))))),6.28623390376632*X1*X2*X3*X4/X5,0.00019117058050763678,0.9999999999429624,59.79197406768799
28,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + (0.019 * ((4.569 * X4) * (((2.706 * X1) * (4.424 * X2)) * ((2.775 * X3) / (0.461 * X5)))))),6.25575499903601*X1*X2*X3*X4/X5,0.00019118756484719264,0.999999999942969,60.851754903793335
21,g_*mom*B*Jz/(h/(2*pi)),(0.000 + (4.920 * (((((-0.494) * X2) / ((-0.885) * X5)) * (((-0.971) * X1) * ((-1.480) * X3))) * (1.593 * X4)))),6.28702955712*X1*X2*X3*X4/X5,0.0001912204866191647,0.9999999999429542,53.933884382247925
20,g_*mom*B*Jz/(h/(2*pi)),(0.000 + ((-14.658) * ((((-1.422) * X3) * ((-0.164) * X4)) * ((((-2.564) * X2) * ((-1.792) * X1)) / ((-2.501) * X5))))),6.28001232741561*X1*X2*X3*X4/X5,0.0001912207582553472,0.999999999942933,55.399659156799316
11,g_*mom*B*Jz/(h/(2*pi)),((-0.000) + ((-3.912) * (((((-1.675) * X3) * (2.351 * X4)) * ((-1.225) * X2)) * (((-0.481) * X1) / (1.444 * X5))))),6.28608513364612*X1*X2*X3*X4/X5,0.00019122729692959688,0.9999999999429176,55.39028263092041
