Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
0,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (0.496 * ((((0.693 * X1) * (2.593 * X3)) * ((1.122 * X2) + 1.122)) - ((0.000 * X1) * (1.956 * X3))))),1.000023681888*X1*X3*(X2 + 1),7.259163442684822e-05,,36.26360106468201
17,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-0.413) * ((((2.289 * X1) * (0.661 * X2)) * (((-0.193) * X3) - (1.406 * X3))) - ((((-0.193) * X3) - (1.406 * X3)) * ((-1.514) * X1))))),X1*X3*(0.999184682223*X2 + 0.999825918),7.265624842705679e-05,,33.1431679725647
11,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + ((-0.670) * (((((-1.546) * X1) * (0.714 * X3)) * (1.353 * X2)) - ((1.409 * X1) * (1.060 * X3))))),X1*X3*(1.00064562444*X2 + 1.0006718),7.30289200158227e-05,,28.944780349731445
18,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (2.124 * ((((0.691 * X2) * ((-0.868) * X3)) * ((-0.784) * X1)) - (((-0.692) * ((-0.869) * X3)) * ((-0.783) * X1))))),X1*X3*(0.998776574208*X2 + 1.000097048016),7.372943071754176e-05,,29.940906763076782
26,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (6.213 * ((cos(0.011) * ((0.371 * X3) * (0.434 * X1))) + ((1.000 * X2) * ((0.371 * X3) * (0.434 * X1)))))),X1*X3*(1.000379982*X2 + 1.00031945962136),7.40259869114724e-05,,38.83552956581116
19,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + ((-1.848) * (((0.803 * X3) * (((-1.214) * X2) * (0.555 * X1))) - ((((-1.018) * X1) * cos(0.013)) * ((-0.531) * X3))))),X1*X3*(0.99983694888*X2 + 0.998866773813739),7.411192120968996e-05,,37.47693586349487
13,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-4.416) * ((((-0.202) * X3) * (1.124 * X1)) + (((0.572 * X2) * (0.318 * X1)) * ((-1.243) * X3))))),X1*X3*(0.998443150848*X2 + 1.002643968),7.425617145421473e-05,,28.794995546340942
10,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (2.013 * ((((0.318 * X1) * 0.707) * (2.207 * X3)) + (((0.318 * X1) * (0.707 * X2)) * (2.207 * X3))))),0.998832446766*X1*X3*(X2 + 1),7.44835471368009e-05,,30.08992028236389
6,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-14.323) * ((cos((-0.081)) * (((-0.161) * X3) * (0.434 * X1))) + ((((-0.161) * X3) * (0.434 * X1)) * (0.997 * X2))))),X1*X3*(0.997802886094*X2 + 0.997523954872031),7.507414939437787e-05,,40.37361264228821
8,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (34.991 * ((((0.197 * X1) * (3.225 * X3)) * (0.045 * X2)) - ((0.134 * X1) * ((-0.213) * X3))))),X1*X3*(1.000379568375*X2 + 0.998713122),7.580205124917236e-05,,28.963123083114624
24,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + ((-3.510) * (((0.340 * X1) * ((-0.839) * X3)) + ((6.219 * X3) * ((0.046 * X1) * ((-1.001) * X2)))))),X1*X3*(1.00512385974*X2 + 1.0012626),7.588931533078507e-05,,28.749090909957886
5,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + ((-0.703) * (((((-0.597) * X1) * (1.439 * X3)) * (1.656 * X2)) - (cos((-0.012)) * (((-1.039) * X1) * ((-1.369) * X3)))))),X1*X3*(1.000116937944*X2 + 0.999868878121089),7.608847021740982e-05,,34.833059549331665
4,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (0.543 * (((0.968 * X3) + (((-0.543) * X3) * ((-1.785) * X2))) * (1.902 * X1)))),X1*X3*(1.00103299443*X2 + 0.999736848),7.836837147271975e-05,,26.812981128692627
3,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (0.333 * ((((0.464 * X1) * (2.718 * X3)) * (2.382 * X2)) + ((1.772 * X3) * ((1.743 * X1) + ((-0.048) * X1)))))),X1*X3*(1.000353333312*X2 + 1.00017882),7.864412204550814e-05,,30.825565576553345
2,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-0.424) * (((((-1.638) * X1) * (1.441 * X3)) * cos(((-0.002) * X2))) + ((((-1.638) * X1) * (1.441 * X3)) * (1.000 * X2))))),1.000791792*X1*X3*(X2 + cos(0.002*X2)),7.894479934612821e-05,,38.97773861885071
7,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (0.520 * ((((0.943 * X2) * ((-1.603) * X3)) + ((-1.511) * X3)) * ((-1.272) * X1)))),X1*X3*(0.99985188576*X2 + 0.99943584),7.94782037245497e-05,,26.964439153671265
25,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (0.965 * ((0.604 * ((1.824 * X1) * (0.940 * X3))) + ((0.604 * X2) * ((1.824 * X1) * (0.940 * X3)))))),0.9993484416*X1*X3*(X2 + 1),7.974735310307204e-05,,29.63814640045166
12,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (48.045 * ((((-1.838) * X3) * ((0.017 * X2) * ((-0.683) * X1))) - (((0.015 * X1) * sin(1.620)) * ((-1.417) * X3))))),X1*X3*(1.02532920981*X2 + 1.01996056529825),7.985427099676343e-05,,38.521852254867554
16,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-1.076) * (((((-0.831) * X2) * (0.356 * X3)) * (3.144 * X1)) + ((((-0.319) * X3) + ((-1.444) * X3)) * (0.527 * X1))))),X1*X3*(1.000796621184*X2 + 0.999712676),8.15435798917868e-05,,30.9178364276886
1,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + ((-0.331) * ((((-1.000) * X2) * ((1.782 * X3) * (1.696 * X1))) - ((1.782 * X3) * (1.696 * X1))))),1.000372032*X1*X3*(X2 + 1),8.199308529561725e-05,,29.190563201904297
15,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-0.870) * (((1.369 * X3) - (((-0.950) * X2) * (1.440 * X3))) * (((-3.123) * X1) * 0.269)))),X1*X3*(0.99983794392*X2 + 1.00056881961),9.030906558742836e-05,,27.164504766464233
9,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (2.061 * ((((0.805 * X3) * (0.418 * X2)) * (1.443 * X1)) - (((-0.559) * X1) * (0.868 * X3))))),X1*X3*(1.00072899927*X2 + 1.000021932),9.365620458777969e-05,,28.731147289276123
20,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (2.991 * (((1.395 * X2) * ((1.473 * X1) * (0.163 * X3))) - (((-0.448) * X1) * (0.747 * X3))))),X1*X3*(1.001799872055*X2 + 1.000956096),0.00013158858412915152,,28.502467393875122
22,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (2.753 * (((1.510 * X3) * (((-0.143) * X1) * ((-1.680) * X2))) + ((1.051 * X1) * (0.346 * X3))))),X1*X3*(0.9986848872*X2 + 1.001117438),0.0001362012741279075,,28.5619900226593
14,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (0.094 * ((1.769 * ((1.068 * X3) * (-1.223))) * (((-3.404) * X1) * (1.355 + (1.355 * X2)))))),1.00180280385175*X1*X3*(X2 + 1),0.00014969124582908525,,26.403344869613647
28,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (1.319 * ((((0.765 * X2) * ((-0.412) * X3)) * ((-2.406) * X1)) - (((-1.464) * X1) * (0.518 * X3))))),X1*X3*(1.00022814252*X2 + 1.000266288),0.00016182308316817182,,29.449524879455566
21,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.000) + (6.211 * (((0.426 * X1) * (0.378 * X3)) + ((0.482 * X3) * ((0.688 * X2) * (0.486 * X1)))))),X1*X3*(1.000998150336*X2 + 1.000144908),0.00020268374839048012,,28.518424034118652
27,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (0.587 * (((-0.257) - ((0.718 * X2) - (0.461 * X2))) * (((3.179 * X1) * (2.083 * X3)) * (-0.999))))),X1*X3*(0.997967758437837*X2 + 0.997967758437837),0.0002734986235403874,,28.33236050605774
29,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + ((-7.459) * ((((2.230 * X2) / ((-3.961) * X2)) * ((-0.413) * X3)) * (((-0.576) * X1) - (((-0.774) * X1) * ((-0.745) * X2)))))),X1*X3*(1.00006427385466*X2 + 0.998971648613986),0.0004589943631963216,,31.67387080192566
23,mom*(1+chi)*B,"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.000 + (0.055 * (cos(sin((0.003 * X2))) * (((1.007 * X2) - (-1.007)) * ((6.304 * X1) * (2.866 * X3)))))),1.00065541664*X1*X3*(X2 + 1)*cos(sin(0.003*X2)),0.0005627041488858144,,41.951881408691406
