Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
24,x1*y1+x2*y2+x3*y3,((-0.000) + (3.785 * (((0.109 * X6) * (2.429 * X5)) + (((0.321 * X3) * (0.822 * X4)) + ((1.159 * X1) * (0.228 * X2)))))),1.00019382*X1*X2 + 0.99871767*X3*X4 + 1.002120385*X5*X6,0.000285373797110089,,49.84706425666809
29,x1*y1+x2*y2+x3*y3,(0.000 + (1.336 * (((((-0.733) * X1) * ((-1.022) * X2)) - ((6.267 * X3) * ((-0.119) * X4))) - ((1.443 * X5) * ((-0.519) * X6))))),1.000832336*X1*X2 + 0.996352728*X3*X4 + 1.000553112*X5*X6,0.000357680375129632,,47.85676550865173
13,x1*y1+x2*y2+x3*y3,((-0.000) + (6.072 * (((((-1.004) * X3) * ((-0.164) * X4)) + ((0.517 * X1) * (0.318 * X2))) + (((-0.293) * X6) * ((-0.562) * X5))))),0.998273232*X1*X2 + 0.999791232*X3*X4 + 0.999851952*X5*X6,0.0004191599472138384,,55.82221603393555
5,x1*y1+x2*y2+x3*y3,(0.000 + (1.790 * (((0.317 * X5) * (1.762 * X6)) + (((0.322 * X1) * (1.734 * X2)) + ((0.721 * X4) * (0.775 * X3)))))),0.99944292*X1*X2 + 1.00020725*X3*X4 + 0.99981166*X5*X6,0.0005249353440618343,,48.90903973579407
11,x1*y1+x2*y2+x3*y3,((-0.000) + (0.709 * (((1.419 * X4) * (0.993 * X3)) - ((((-3.246) * X2) * (0.434 * X1)) + (((-1.503) * X6) * (0.938 * X5)))))),0.998813676*X1*X2 + 0.999028503*X3*X4 + 0.999558126*X5*X6,0.0005576825301421175,,49.19747304916382
25,x1*y1+x2*y2+x3*y3,((-0.000) + (2.272 * (((((-0.859) * X1) * ((-0.512) * X2)) - (((-1.108) * X6) * (0.397 * X5))) - (((-0.169) * X3) * (2.602 * X4))))),0.999243776*X1*X2 + 0.999084736*X3*X4 + 0.999398272*X5*X6,0.0007740416038017087,,49.495391845703125
7,x1*y1+x2*y2+x3*y3,((-0.000) + ((-0.827) * (((1.004 * X6) * ((-1.204) * X5)) + ((((-0.855) * X2) * (1.414 * X1)) + (((-0.852) * X3) * (1.419 * X4)))))),0.99981819*X1*X2 + 0.999833076*X3*X4 + 0.999690832*X5*X6,0.0008837402323270245,,51.06423258781433
18,x1*y1+x2*y2+x3*y3,((-8.934) + ((-4.481) * ((((-0.664) * X6) - (0.669 * X5)) - ((((-0.908) * X2) * ((-0.246) * X1)) + ((0.444 * X3) * (0.502 * X4)))))),1.000912008*X1*X2 + 0.998761128*X3*X4 + 2.997789*X5 + 2.975384*X6 - 8.934,1.3290200505618799,,57.84396004676819
20,x1*y1+x2*y2+x3*y3,((-8.939) + (1.780 * ((((1.672 * X6) + (0.002 * X1)) + (1.684 * X5)) + ((((-0.924) * X3) * ((-0.608) * X4)) - ((0.530 * X1) * ((-1.062) * X2)))))),1.0018908*X1*X2 + 0.00356*X1 + 0.99998976*X3*X4 + 2.99752*X5 + 2.97616*X6 - 8.939,1.3290207266724845,,53.9077250957489
3,x1*y1+x2*y2+x3*y3,(0.038 + (0.490 * (((0.886 * X5) * (2.303 * X6)) + ((((-0.981) * X4) - (0.990 * X1)) * (((-1.926) * (0.536 * X3)) - (1.033 * X2)))))),0.99982442*X5*X6 + 0.49*(0.99*X1 + 0.981*X4)*(1.033*X2 + 1.032336*X3) + 0.038,1.3395264203882735,,49.059364318847656
9,x1*y1+x2*y2+x3*y3,((-8.958) + (3.736 * ((((0.296 * X4) * (0.905 * X3)) + (((-0.194) * X6) * ((-1.383) * X5))) - ((((-0.803) * X2) - (0.802 * X1)) - ((-0.003) * X5))))),2.996272*X1 + 3.000008*X2 + 1.00079968*X3*X4 + 1.002376272*X5*X6 - 0.011208*X5 - 8.958,1.3408005416880844,,51.182387590408325
21,x1*y1+x2*y2+x3*y3,(0.016 + (1.252 * ((((-0.830) * X4) * ((-0.961) * X3)) - (((0.180 * X5) + (0.181 * X2)) * (((-2.229) * X1) - (2.203 * X6)))))),0.99863276*X3*X4 + 1.252*(2.229*X1 + 2.203*X6)*(0.181*X2 + 0.18*X5) + 0.016,1.3445310854039705,,49.7805700302124
23,x1*y1+x2*y2+x3*y3,(8.996 + (0.890 * ((1.634 + ((0.197 * X3) * (0.711 * X4))) * ((((-0.467) * X1) * ((-0.835) * X2)) + (((-0.201) * X5) * ((-1.931) * X6)))))),0.89*(0.389945*X1*X2 + 0.388131*X5*X6)*(0.140067*X3*X4 + 1.634) + 8.996,1.8720155151492714,,50.971381425857544
12,x1*y1+x2*y2+x3*y3,(4.520 + ((-0.579) * (((((-1.094) * X4) - (1.064 * X5)) - (0.486 * X6)) * (((0.291 * X2) * (0.706 * X1)) + ((0.650 * X3) + (0.357 * X6)))))),0.579*(1.094*X4 + 1.064*X5 + 0.486*X6)*(0.205446*X1*X2 + 0.65*X3 + 0.357*X6) + 4.52,1.8837665916612798,,58.39631962776184
2,x1*y1+x2*y2+x3*y3,(0.048 + ((-0.599) * (((0.692 * X5) - (((-0.696) * X2) + ((-0.694) * X3))) * ((((-0.801) * X4) - (0.806 * X1)) - (0.795 * X6))))),0.599*(0.806*X1 + 0.801*X4 + 0.795*X6)*(0.696*X2 + 0.694*X3 + 0.692*X5) + 0.048,1.8907197637773494,,48.9610550403595
0,x1*y1+x2*y2+x3*y3,(9.098 + (2.357 * ((((0.632 * X4) + (0.067 * X1)) - (((-0.449) * X5) * (0.434 * X6))) * ((0.357 * X3) + (((-0.114) * X1) * ((-0.875) * X2)))))),2.357*(0.09975*X1*X2 + 0.357*X3)*(0.067*X1 + 0.632*X4 + 0.194866*X5*X6) + 9.098,1.9602806279083729,,51.44908404350281
16,x1*y1+x2*y2+x3*y3,(9.420 + (0.903 * ((((1.413 * X2) * (0.400 * X1)) - ((-1.880) * X3)) * ((0.318 * X4) + ((1.620 * X6) * (0.059 * X5)))))),0.903*(0.318*X4 + 0.09558*X5*X6)*(0.5652*X1*X2 + 1.88*X3) + 9.42,2.01013397683181,,55.136481523513794
27,x1*y1+x2*y2+x3*y3,(9.309 + ((-0.056) * ((((1.137 * X2) - ((-1.130) * X5)) - (-0.387)) * (((0.706 * X1) + (0.707 * X3)) * (((-1.732) * X4) + ((-1.706) * X6)))))),0.056*(0.706*X1 + 0.707*X3)*(1.732*X4 + 1.706*X6)*(1.137*X2 + 1.13*X5 + 0.387) + 9.309,2.3067734187621665,,50.85663342475891
14,x1*y1+x2*y2+x3*y3,(9.612 + (0.147 * ((((1.417 * X6) + (1.497 * X3)) * ((1.429 * X1) + (1.413 * X5))) * ((0.015 * X6) + ((0.256 * X2) + (0.257 * X4)))))),0.147*(1.429*X1 + 1.413*X5)*(1.497*X3 + 1.417*X6)*(0.256*X2 + 0.257*X4 + 0.015*X6) + 9.612,2.310018932235756,,58.61249232292175
