Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
14,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.000 + ((-16.134) * (((((-0.403) * X1) * ((-0.898) * X2)) - (((-0.542) * X1) * ((-0.721) * X2))) / ((((-0.160) * X1) * (0.949 * X2)) - (-0.457))))),(-0.314238991999999*X1*X2 - 0.457)/(0.15184*X1*X2 - 0.457),2.304465571197825e-05,,35.86827898025513
11,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-2.000) + (4.242 * (cos((((-0.012) * X1) * ((-0.536) * X2))) / (1.414 - (((-0.698) * X2) * ((-0.675) * X1)))))),(-0.9423*X1*X2 - 4.242*cos(0.006432*X1*X2) + 2.828)/(0.47115*X1*X2 - 1.414),2.3260592903365223e-05,,42.74960112571716
12,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.000 + (4.960 * ((((1.053 * X2) * ((-2.285) * X1)) - ((0.864 * X2) * ((-2.294) * X1))) / (((0.864 * X2) * (0.811 * X1)) - 2.103)))),(-1.40277744*X1*X2 - 2.103)/(0.700704*X1*X2 - 2.103),2.3303628481493082e-05,,32.56539273262024
22,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-2.000) + (3.374 * (cos(((0.003 * X2) * ((-1.505) * X1))) / (((0.377 * X2) * ((-0.994) * X1)) + sqrt(1.265))))),(-0.749476*X1*X2 - 3.374*cos(0.004515*X1*X2) + 2.2494443758404)/(0.374738*X1*X2 - 1.1247221879202),2.3346472848536628e-05,,42.90919041633606
20,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.000 + (4.265 * ((((1.708 * X1) * ((-0.844) * X2)) - ((2.232 * X1) * ((-0.570) * X2))) / (((1.475 * X1) * (0.163 * X2)) - 0.720)))),(-0.48169068*X1*X2 - 0.72)/(0.240425*X1*X2 - 0.72),2.3367947724083746e-05,,36.142624378204346
15,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.000 + ((-0.924) * ((((6.008 * X2) * ((-1.909) * X1)) - ((5.616 * X2) * ((-1.871) * X1))) / ((((-0.681) * X2) * (0.434 * X1)) - (-0.888))))),(-0.593090064*X1*X2 - 0.888)/(0.295554*X1*X2 - 0.888),2.3431992589654038e-05,,36.67944574356079
10,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.000 + (116.046 * (sin((((0.102 * X2) * 0.110) * ((-1.162) * X1))) / (((0.707 * X1) * (0.719 * X2)) + (-1.525))))),(0.508333*X1*X2 - 116.046*sin(0.01303764*X1*X2) - 1.525)/(0.508333*X1*X2 - 1.525),2.3474711849639722e-05,,42.133137464523315
2,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",((-0.360) + ((-1.367) * (log(cos((1.095 + ((0.194 * X2) * (1.188 * X1))))) * (1.273 + ((0.171 * X2) * (1.188 * X1)))))),-(0.277703316*X1*X2 + 1.740191)*log(cos(0.230472*X1*X2 + 1.095)) - 0.36,0.00010014961649838142,,34.65595054626465
28,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.650 + ((-1.775) * log(((((-0.668) * X1) * (1.241 * X2)) + 1.443)))),1.65 - 1.775*log(-0.828988*X1*X2 + 1.443),0.001017129618170515,,40.58315181732178
6,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + ((-9.211) * ((0.318 + ((0.568 * X1) * (((0.009 * X2) + 0.338) * (0.905 * X2)))) * (((-0.354) * X1) * (0.905 * X2))))),2.95092807*X1*X2*(0.51404*X1*X2*(0.009*X2 + 0.338) + 0.318) + 1.003,0.0027321128132571392,,31.658928632736206
