Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999971567541592,(-1.734*X1 + 1.0*exp(0.846*X1 + sin(0.919*X1)))*exp(-2.649*X1),0.10597352600988579
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9527912262744596,0.10619*X1 - 0.111888*X2 + 0.518*cos(0.434*X1 - 0.191*X2) - 0.316,0.05701908590546073
q2*Ef,0.9999999999999734,0.999666*X1*X2,7.853420847215526
q*(Ef+B*v*sin(theta)),0.9620845491453116,1.181452482144*X1*X3*X4*sin(sin(0.951*X5)) + 7.226,34.68412630362486
1/2*m*(v**2+u**2+w**2),0.9438174946910102,1.292*(8.888*X2 + 4.205*X3)*(0.109*X1 + 0.263*X3 + 0.594*X4)*sin(0.095*X1) + 3.379,28.75951881074014
G*m1*m2*(1/r2-1/r1),0.9392802823545155,26.6224896*X1*X3*sin(0.02*X2)/X4 - 25.6975983963553*X1*X4*sin(0.02*X2)/X3 - 0.108,10.44829115237162
m*g*z,0.9999999999999711,1.00122154704*X1*X2*X3,25.832642546709316
1/2*k_spring*x**2,0.9999999999999677,0.500560435584*X1*X2**2,19.029718731634404
(x-u*t)/sqrt(1-u**2/c**2),0.9966551588428457,1.018017*X1 - 0.485485*X2*exp(0.674*X4) + 109.970861*X2*exp(-6.304*X4) - 0.025025*X3 - 0.004,1.969527637327425
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9959448240928199,(-0.680561*X1 + 1.732591*X3 + (6.239*X2 - 3.979*X4)*(1.03341*X4 - 0.147))/(6.239*X2 - 3.979*X4),1.8314885494109805
m_0*v/sqrt(1-v**2/c**2),0.9973207000845858,1.394106*X1*X2*exp(-0.038*X3) - 0.260422360248447*X1*exp(-0.038*X3)*sin(0.375*X3)/X2 + 0.001,2.5903903059998203
(u+v)/(1+u*v/c**2),0.9563406576436865,(X3*(1.150488*X1 - 0.322) - 0.0637916063675832*exp(0.986*X1 - 0.421*X2))/X3,1.6445444180329354
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.19122255727691662,0.433 - 0.325*sin(0.453*X1 - 0.058*X3 + sin(cos(0.453*X1)**2*cos(0.787*X2)**2)),0.060113239132856225
(m1*r1+m2*r2)/(m1+m2),0.9969624013200264,15.566804*X3*exp(-0.006*X2) - 15.041856*X3*exp(-0.005*X1) - 15.000938*X4*exp(-0.006*X2) + 15.490956*X4*exp(-0.005*X1) + 0.007,1.2939682651653917
r*F*sin(theta),0.9999999874042143,1.013298816*X1*X2*sin(1.0*X3) - 0.001,9.609295836638173
m*r*v*sin(theta),0.9999999743846467,84.155427*X1*X3*sin(0.012*X2)*sin(1.0*X4),30.015431555801968
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9866100155129394,0.133608014848*X1*X4**2*(2.286*X2 + exp(0.817*X3))*exp(0.216*X2) - 0.056,11.272871312362138
q/C,0.9999999999999069,1.0*X1/X2,0.9281803743794758
np.arcsin(n*sin(theta2)),0.9988975134664244,0.985968*X1*exp(0.802*X1*sin(0.269*X1))*sin(1.0*X2) - 0.003,0.4562389656720082
1/(1/d1+n/d2),0.9681293934886266,0.0911933862559242*X1*X2/X3 + 0.636 - 0.149794037940379*X3/(X2*cos(0.145*X2)),0.4560830599954124
omega/c,0.9999999984067237,8454.42*X1/(8454.24*X2 - cos(1.344*X2)),1.1681801057160381
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.682679634145952,5.666 - 3.156*cos(X1*(0.198338*X3 - 0.198772*X4)),2.6067146012118894
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,-0.1948154771472499,3.89100980816957*X1*sin(0.582*X3)**2/X2**3 + 1.666,1.5877572221483514
sqrt((x2-x1)**2+(y2-y1)**2),0.20582029348408337,2.493 - 1.161*cos(0.876*X1 - 0.89*X2),0.9769679390139127
np.arcsin(lambd/(n*d)),0.9998937783351031,(-2.69392*X1 - 2.06293501200021*X2*X3)/(0.596*X1 - 2.874144*X2*X3),0.1939580192187679
q**2*a**2/(6*pi*epsilon*c**3),0.9518827299838922,0.112958823431813*X2**2*exp(0.475*X1)/(X3*X4**3),1.2328744340751265
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.8595960852265261,0.011319*X3*(100.137*X1 + 50.967*X4 - 24.208*X6)*exp(3.591*X5 - 1.509*X6) + 0.037,9.420295806977329
q*v*B/p,0.9999999999999338,1.005081628*X1*X2*X3/X4,12.406533212290832
omega_0/(1-v/c),0.9950306434601862,0.06834*X1 - 0.252028245125348*X2 + 0.659180153203343*X3 - 0.023 - 0.182070167130919*X2**2/X1 + 2.83726010445682*X2*X3/X1,2.658379605477638
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9746394025921603,3.206885*X3 - 2.79595*X3*exp(-0.128*X2) + 0.04 + 2.9283503649635*X3*exp(-0.128*X2)/X1,2.382370926700079
(h/(2*pi))*omega,0.999999999999914,0.1590186*X1*X2,1.028525719279887
I1+I2+2*sqrt(I1*I2)*cos(delta),0.9061592373468945,0.490568*X1 + 0.528304*X2 - 18.868*sin(0.502*X3) + 16.164,4.340355940617545
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.9999999999999764,0.283342642359426*X3**2*X4/(X1*X2**2),1.4274363322387387
3/2*pr*V,0.9999999999999275,1.499499*X1*X2,10.122350234573895
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.8457070056569904,(16.4462485973993*X1*X2*X3*(0.024*X7 + 0.017*X9) - 0.001*X4*X8)/(X4*X8),0.14979935402730496
1/(gamma-1)*pr*V,0.9998931535739682,0.11278575*X2*X3 + 0.002 + 3.48926497277677*X2*X3/X1**2,5.730677654519057
n*kb*T/V,0.9999999999999489,1.00157529292237*X1*X2*X4/X3,13.243790958923492
n_0*exp(-m*g*x/(kb*T)),0.7942363633341648,(-0.107*X2*X3*exp(0.24*X5) + 0.304156296665007*X6*(1.307*X1 + 1.172*X4))*exp(-0.24*X5)/(X2*X3),0.8324815858322594
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9928817858222554,(0.0373512490689202*X1*X2*X4*(2.169*X1 + 0.288*X2) - 0.018*X5**2)/X5**2,1.397018823114276
mu_drift*q*Volt/d,0.9999999999999659,1.0024343675*X1*X2*X3/X4,11.182293653538913
