Original,RMSE,Modelo
exp(-theta**2/2)/sqrt(2*pi),0.1059735260098857,(-1.734*X1 + 1.0*exp(0.846*X1 + sin(0.919*X1)))*exp(-2.649*X1)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0570190859054607,0.10619*X1 - 0.111888*X2 + 0.518*cos(0.434*X1 - 0.191*X2) - 0.316
q2*Ef,7.853420847215526,0.999666*X1*X2
q*(Ef+B*v*sin(theta)),34.68412630362486,1.181452482144*X1*X3*X4*sin(sin(0.951*X5)) + 7.226
1/2*m*(v**2+u**2+w**2),28.75951881074014,1.292*(8.888*X2 + 4.205*X3)*(0.109*X1 + 0.263*X3 + 0.594*X4)*sin(0.095*X1) + 3.379
G*m1*m2*(1/r2-1/r1),10.44829115237162,26.6224896*X1*X3*sin(0.02*X2)/X4 - 25.6975983963553*X1*X4*sin(0.02*X2)/X3 - 0.108
m*g*z,25.83264254670932,1.00122154704*X1*X2*X3
1/2*k_spring*x**2,19.029718731634404,0.500560435584*X1*X2**2
(x-u*t)/sqrt(1-u**2/c**2),1.969527637327425,1.018017*X1 - 0.485485*X2*exp(0.674*X4) + 109.970861*X2*exp(-6.304*X4) - 0.025025*X3 - 0.004
(t-u*x/c**2)/sqrt(1-u**2/c**2),1.8314885494109805,(-0.680561*X1 + 1.732591*X3 + (6.239*X2 - 3.979*X4)*(1.03341*X4 - 0.147))/(6.239*X2 - 3.979*X4)
m_0*v/sqrt(1-v**2/c**2),2.5903903059998203,1.394106*X1*X2*exp(-0.038*X3) - 0.260422360248447*X1*exp(-0.038*X3)*sin(0.375*X3)/X2 + 0.001
(u+v)/(1+u*v/c**2),1.6445444180329354,(X3*(1.150488*X1 - 0.322) - 0.0637916063675832*exp(0.986*X1 - 0.421*X2))/X3
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0601132391328562,0.433 - 0.325*sin(0.453*X1 - 0.058*X3 + sin(cos(0.453*X1)**2*cos(0.787*X2)**2))
(m1*r1+m2*r2)/(m1+m2),1.2939682651653917,15.566804*X3*exp(-0.006*X2) - 15.041856*X3*exp(-0.005*X1) - 15.000938*X4*exp(-0.006*X2) + 15.490956*X4*exp(-0.005*X1) + 0.007
r*F*sin(theta),9.609295836638172,1.013298816*X1*X2*sin(1.0*X3) - 0.001
m*r*v*sin(theta),30.015431555801968,84.155427*X1*X3*sin(0.012*X2)*sin(1.0*X4)
1/2*m*(omega**2+omega_0**2)*1/2*x**2,11.272871312362138,0.133608014848*X1*X4**2*(2.286*X2 + exp(0.817*X3))*exp(0.216*X2) - 0.056
q/C,0.9281803743794758,1.0*X1/X2
np.arcsin(n*sin(theta2)),0.4562389656720082,0.985968*X1*exp(0.802*X1*sin(0.269*X1))*sin(1.0*X2) - 0.003
1/(1/d1+n/d2),0.4560830599954124,0.0911933862559242*X1*X2/X3 + 0.636 - 0.149794037940379*X3/(X2*cos(0.145*X2))
omega/c,1.168180105716038,8454.42*X1/(8454.24*X2 - cos(1.344*X2))
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),2.6067146012118894,5.666 - 3.156*cos(X1*(0.198338*X3 - 0.198772*X4))
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,1.5877572221483514,3.89100980816957*X1*sin(0.582*X3)**2/X2**3 + 1.666
