Original,R2,Modelo,RMSE,Iteración_independiente
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.947911760385158,0.098*(exp(cos(cos(cos(1.275*X2)))) - cos(1.251*X2))*exp(sin(1.475*X1)) - 0.084,0.0464733036587231,0
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9637211764512938,-0.582*exp(cos(0.336*X1))*sin(0.398*X1)*sin(0.399*X1)*sin(1.992*X1) + 0.002,0.0576925929608295,0
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-0.7243187479276711,0.555*exp(2*sin(0.522*X1))*sin(1.993*X1)*cos(3.42*X2) + 0.001,1.319884142931565,0
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.7096161281110404,0.206*(sin(0.522*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.522*X5)) + 0.215,0.099854841541202,0
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.720168285820227,-0.563*cos(1.414*X1 - 1.386*X3) - 0.563*cos(1.577*X1 + 1.567*X3) + 0.046,0.4697546306837692,0
6 * sin(x1) * cos(x2),0.9991147059478994,2.984*sin(0.989*X1 - 0.989*X2) + 2.984*sin(0.989*X1 + 1.01019011406844*X2) + 0.022,0.089262184180117,0
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9236644633472276,-6.338*(0.078*X1 - sin(0.792*X1))*(0.472*X1 - 0.498*X2 + sin(0.772*X1)) + 0.436,1.4640534671082708,0
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.4669473507218296,0.334*exp(exp(cos(1.084*X1 + X2**2*(0.018821096*X2 - 0.070756)))) - 0.723,1.854271279095988,0
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9608971049892276,0.348*exp(sin(1.414*X1))*sin(0.518*X2)*sin(0.697*X2)*cos(0.441*X1) + 0.001,0.0402633885745689,1
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.7865680708296354,-0.21*sin(1.999*X1) + 0.21*sin(sin(cos(0.578*X1))) - 0.21*cos(1.473*X1) + 0.21*cos(2.424*X1) + 0.049,0.1399443973659382,1
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-0.1999922058841958,0.892*sin(2.028*X1 + 6.061444*X2**2) - 0.004,1.1010724432665986,1
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.7096414036548586,0.206*(sin(0.522*X1) + sin(0.519*X4))*(sin(0.519*X3) + sin(0.522*X5)) + 0.215,0.0998502153049033,1
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7560458804359248,2.727 - 2.792*cos(0.591*X1 - 0.571*X3)/cos(0.558*X1 - exp(-0.686*X3)),0.4386070927458413,1
6 * sin(x1) * cos(x2),0.999998497023872,6.001*sin(1.0*X1)*cos(1.0*X2)*cos(sin(0.009*X2)) + 0.001,0.0036766516735715,1
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9330908516672164,22.31*sin(exp(cos(0.015376*X1**2)))*sin(sin(0.85*X1))*cos(0.452*X2) - 0.008,1.3706790999550342,1
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.7921943077850383,5.831*(sin(0.519*X1) - cos(sin(0.253*X2)**4))**2 - 0.189,1.1577553979830917,1
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9527715784291344,0.022*exp(exp(cos(cos(0.628*X2))) + sin(1.474*X1)) - 0.091,0.0442503931159447,2
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9535755351716684,-0.46*(sin(2.059*X1) + cos(1.547*X1 - exp(-0.385*X1)))*sin(0.473*X1)**2 + 0.022,0.0652650443855276,2
