Original,R2,Modelo
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.987751298057621,0.133*exp(1.234*X1*cos(0.833*X1) - cos(1.25*X2)) + 0.014
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),,(-0.087*X2 + (-0.163*X2*cos(1.31*X2) + 0.105365223012282*exp(0.537*X2))*exp(sin(1.475*X1)))/X2
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9849853939813308,0.155*exp(sin(1.45*X1) + sin(cos(exp(cos(0.318*X1))))*cos(1.251*X2)) - 0.059
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9608971049892276,0.348*exp(sin(1.414*X1))*sin(0.518*X2)*sin(0.697*X2)*cos(0.441*X1) + 0.001
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.952924644589602,0.022*exp(exp(cos(cos(0.629*X2))) + sin(1.473*X1)) - 0.091
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9831271162610056,(-1.714*(1.076*X1 - sin(1.174*X1))*sin(1.995*X1) - 0.009*exp(0.643*X1))*exp(-0.643*X1)
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9815150948193389,-0.394*exp(sin(0.334*X1))*sin(1.994*X1)*sin(0.295*X1 + sin(0.334*X1))**2
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9803277949221918,(-0.343*(1.43*X1 - sin(1.343*X1))*sin(1.992*X1) - 0.001*exp(0.070756*X1**2))*exp(-0.070756*X1**2)
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9772574954197478,-0.267*(sin(0.112*X1) + sin(0.401*X1))*exp(sin(0.617*X1))*sin(1.994*X1) + 0.004
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9759473120058152,-2.529425*X1*exp(-0.657*X1)*sin(0.383*X1)**2*sin(1.992*X1) - 0.002
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.9418642486601592,4.595*sin(0.46*X1)**2*sin(1.991*X1)*cos(0.159*X1)*cos(0.305*X2) + 0.002
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.9412621797517792,5.216*sin(1.992*X1)*sin(sin(0.459*X1)**2)*cos(0.161*X1)*cos(0.306*X2) + 0.002
