Original,RMSE,Modelo
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0249518648531976,0.155*exp(sin(1.45*X1) + sin(cos(exp(cos(0.318*X1))))*cos(1.251*X2)) - 0.059
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0402633885745689,0.348*exp(sin(1.414*X1))*sin(0.518*X2)*sin(0.697*X2)*cos(0.441*X1) + 0.001
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0441803897844101,0.022*exp(exp(cos(cos(0.629*X2))) + sin(1.473*X1)) - 0.091
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0442503931159447,0.022*exp(exp(cos(cos(0.628*X2))) + sin(1.474*X1)) - 0.091
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0464733036587231,0.098*(exp(cos(cos(cos(1.275*X2)))) - cos(1.251*X2))*exp(sin(1.475*X1)) - 0.084
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0393488148018895,(-1.714*(1.076*X1 - sin(1.174*X1))*sin(1.995*X1) - 0.009*exp(0.643*X1))*exp(-0.643*X1)
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0411821635069591,-0.394*exp(sin(0.334*X1))*sin(1.994*X1)*sin(0.295*X1 + sin(0.334*X1))**2
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0424851975107907,(-0.343*(1.43*X1 - sin(1.343*X1))*sin(1.992*X1) - 0.001*exp(0.070756*X1**2))*exp(-0.070756*X1**2)
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0456807293147791,-0.267*(sin(0.112*X1) + sin(0.401*X1))*exp(sin(0.617*X1))*sin(1.994*X1) + 0.004
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0469756908943918,-2.529425*X1*exp(-0.657*X1)*sin(0.383*X1)**2*sin(1.992*X1) - 0.002
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.2423535536572113,4.595*sin(0.46*X1)**2*sin(1.991*X1)*cos(0.159*X1)*cos(0.305*X2) + 0.002
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.2436042163715077,5.216*sin(1.992*X1)*sin(sin(0.459*X1)**2)*cos(0.161*X1)*cos(0.306*X2) + 0.002
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.2482358259728162,2.448*exp(cos(0.318*X1))*sin(0.407*X1)**2*sin(1.996*X1)*cos(0.306*X2) + 0.001
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.2504328789987617,4.619*sin(0.459*X1)**2*sin(1.983*X1)*cos(0.162*X1)*cos(0.306*X2) + 0.001
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.2830439965595071,3.789*sin(1.994*X1)*sin(exp(cos(0.367*X1)))**2*cos(0.306*X2) + 0.001
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.0998393937012186,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.523*X5)) + 0.216
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.0998502153049033,0.206*(sin(0.522*X1) + sin(0.519*X4))*(sin(0.519*X3) + sin(0.522*X5)) + 0.215
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.0998521494888105,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.523*X5)) + 0.216
