Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
28,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.088) + (10.758 * sin((((sin(((0.353 * X2) + (cos(((-0.464) * X1)) ^ 2))) * exp(sin(((-0.523) * X1)))) ^ 2) ^ 2)))),10.758*sin(exp(-4*sin(0.523*X1))*sin(0.353*X2 + cos(0.464*X1)**2)**4) - 0.088,0.6955198493924507,0.9250031006720302,10.926559209823608
10,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.269) + (0.288 * (exp((cos(((0.301 * X1) + exp((0.220 * X1)))) + cos((cos((0.096 * X2)) + ((-0.478) * X2))))) ^ 2))),0.288*exp(2*cos(0.301*X1 + exp(0.22*X1)) + 2*cos(0.478*X2 - cos(0.096*X2))) - 0.269,0.7225714353930159,0.9190554996907287,9.920292854309082
1,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.236) + (7.365 * ((cos((((-0.198) * X2) + exp(((-0.522) * X2)))) + sin(sin(((-0.522) * X1)))) ^ 2))),7.365*(sin(sin(0.522*X1)) - cos(0.198*X2 - exp(-0.522*X2)))**2 - 0.236,0.7494387106467345,0.9129245205823149,10.78196930885315
20,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.235) + (0.195 * exp((sin(((-0.528) * X1)) - (sin(((-0.737) * X2)) - exp(cos(((-1.041) * X1)))))))),0.195*exp(exp(cos(1.041*X1)) - sin(0.528*X1) + sin(0.737*X2)) - 0.235,0.7893199729328025,0.9034104198593675,11.05057144165039
25,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.120) + (8.756 * (((cos(sin((0.699 * X1))) - (0.292 * X1)) * sin(cos((cos(((-0.136) * X2)) - (0.442 * X2))))) ^ 2))),8.756*(0.292*X1 - cos(sin(0.699*X1)))**2*sin(cos(0.442*X2 - cos(0.136*X2)))**2 - 0.12,0.7978608152135542,0.9013093745369627,7.5153968334198
29,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.313) + (3.899 * exp(((sin((0.756 * X2)) - (cos((0.237 * X1)) * (1.102 * X1))) - sin((0.693 * X1)))))),3.899*exp(-1.102*X1*cos(0.237*X1) - sin(0.693*X1) + sin(0.756*X2)) - 0.313,0.8010845011261294,0.900509684217618,11.107106685638428
16,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.237) + (6.940 * ((sin(((-0.523) * X1)) + cos((cos(cos(cos(((-1.155) * X2)))) - (0.317 * X2)))) ^ 2))),6.94*(sin(0.523*X1) - cos(0.317*X2 - cos(cos(cos(1.155*X2)))))**2 - 0.237,0.9070039318851043,0.872460812121729,6.606991291046143
6,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.457) + (3.519 * ((sin(((-0.527) * X1)) + ((cos((0.277 * X2)) - sin(((-0.156) * X2))) ^ 2)) ^ 2))),3.519*((sin(0.156*X2) + cos(0.277*X2))**2 - sin(0.527*X1))**2 - 0.457,0.9166701275413209,0.8697286577833317,6.979907274246216
14,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.006) + (0.060 * exp(((cos(((0.098 * X2) * (0.633 * X2))) + ((0.111 * X2) + cos(((-1.041) * X1)))) ^ 2)))),0.06*exp((0.111*X2 + cos(1.041*X1) + cos(0.062034*X2**2))**2) - 0.006,1.0952308069385264,0.814032714554559,7.878091335296631
2,((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),((-0.204) + (0.052 * exp((exp((cos((1.042 * X1)) + ((0.396 * X1) / (1.044 * X1)))) + sin((0.720 * X2)))))),0.052*exp(1.46127646497266*exp(cos(1.042*X1)) + sin(0.72*X2)) - 0.204,1.112182407894181,0.8082317026626826,8.70987319946289
