Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
9,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.276 + (0.003 * (((((-2.250) * X3) + (((-1.805) * X5) + (((-0.608) * X3) ^ 2))) * ((0.316 * X5) + (-2.378))) ^ 2))),0.08588355075*(0.132884777123633*X5 - 1)**2*(-0.164295111111111*X3**2 + X3 + 0.802222222222222*X5)**2 + 0.276,0.15458894413035235,,5.975580215454102
28,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.360 + (0.191 * ((((2.378 * X5) / 0.554) - (((-0.838) * X5) ^ 2)) * (0.324 - ((0.558 + ((-0.183) * X3)) ^ 2))))),0.191*X5*(0.702244*X5 - 4.29241877256318)*(0.311364*(0.327956989247312*X3 - 1)**2 - 0.324) + 0.36,0.15542172267667112,,5.89929461479187
14,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-3.492) * (((0.279 + ((-0.092) * X5)) ^ 2) + ((0.278 + ((-0.092) * X3)) ^ 2)))),-0.269875728*(0.330935251798561*X3 - 1)**2 - 0.271820772*(0.329749103942652*X5 - 1)**2 + 0.728,0.1555526400897722,,4.960954666137695
24,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.290) * (((0.966 - (0.318 * X5)) ^ 2) + ((0.968 - (0.319 * X3)) ^ 2)))),-0.27173696*(0.329545454545455*X3 - 1)**2 - 0.27061524*(0.329192546583851*X5 - 1)**2 + 0.728,0.15555293347875165,,5.265958547592163
1,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.153) * (((1.335 + ((-0.440) * X3)) ^ 2) + ((1.332 + ((-0.439) * X5)) ^ 2)))),-0.272680425*(0.329588014981273*X3 - 1)**2 - 0.271456272*(0.32957957957958*X5 - 1)**2 + 0.728,0.1555531048002976,,5.850855112075806
8,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-1.134) * ((((0.161 * X5) - 0.489) ^ 2) + (((0.161 * X3) - 0.489) ^ 2)))),-0.271163214*(0.329243353783231*X3 - 1)**2 - 0.271163214*(0.329243353783231*X5 - 1)**2 + 0.728,0.15555324477319593,,5.075091600418091
11,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.006) * ((((2.298 * X5) - 6.974) ^ 2) + (((2.304 * X3) - 6.979) ^ 2)))),-0.292238646*(0.330133256913598*X3 - 1)**2 - 0.291820056*(0.329509607112131*X5 - 1)**2 + 0.728,0.1555535109520917,,5.262846231460571
21,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.054) * ((((0.737 * X3) - 2.234) ^ 2) + (((0.736 * X5) - 2.234) ^ 2)))),-0.269500824*(0.329901521933751*X3 - 1)**2 - 0.269500824*(0.329453894359893*X5 - 1)**2 + 0.728,0.15555417124073206,,5.093874454498291
12,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.049) * (((((-0.774) * X3) - (-2.344)) ^ 2) + ((((-0.772) * X5) - (-2.343)) ^ 2)))),-0.269222464*(0.330204778156997*X3 - 1)**2 - 0.268992801*(0.329492104139991*X5 - 1)**2 + 0.728,0.15555443340228745,,5.154700756072998
22,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.081) * ((((-1.831) + (0.603 * X5)) ^ 2) + (((-1.831) + (0.604 * X3)) ^ 2)))),-0.271557441*(0.329874385581649*X3 - 1)**2 - 0.271557441*(0.329328235936647*X5 - 1)**2 + 0.728,0.1555547746869662,,5.20116662979126
