v1,v2,resultado
3.21860,5.41001,0.07981
1.54199,2.10159,0.46923
2.84167,2.81133,0.01750
1.98890,4.11701,0.04394
4.42360,3.42449,0.26628
0.56639,1.09768,2.82227
4.40910,2.06780,0.40646
1.48047,2.87637,0.51494
1.74944,4.11468,0.09054
1.11326,2.19696,1.29552
5.76124,1.68978,5.71400
4.81889,3.04317,0.97479
5.90522,0.27886,2.86603
3.99195,5.11248,0.07976
2.19015,5.63411,0.08715
0.28739,0.82649,3.87087
1.85307,2.92428,0.16829
2.15361,3.57040,0.00798
1.73531,3.17818,0.20003
4.89799,0.70906,0.25391
0.88825,3.71102,1.05196
0.53943,1.74658,3.59253
5.80621,0.96509,4.98980
3.63986,5.62395,0.08554
3.14838,1.88765,-0.02635
0.85466,0.41629,0.40015
3.37926,3.96763,-0.00164
1.96127,1.78294,0.05784
3.59966,5.25229,0.07632
3.70103,4.32032,0.03137
5.67931,3.28888,4.01804
3.79898,0.16771,-0.91581
4.95402,1.53322,1.28287
5.73718,5.77301,0.35120
0.41686,5.86725,0.27915
1.00564,0.83261,0.65834
4.34298,3.99795,0.12527
5.97679,4.23301,2.27068
0.86217,4.49570,0.46600
1.11970,4.67665,0.25333
0.50844,2.82435,3.69995
3.44094,4.33368,0.02714
5.30339,2.04515,2.82338
0.69610,1.29235,2.42932
1.78631,1.35329,-0.06376
5.11474,0.18076,0.01964
6.04566,3.64332,4.95396
3.45905,1.97446,-0.00087
1.58460,4.19853,0.13597
